~,st_data_export_visual_item_id,st_data_export_hit_fraction,st_data_export_ap_scale,st_data_export_body_bonearmor,st_data_export_head_bonearmor
actors\stalker_dolg\stalker_dolg_sunrise_seva_mask_3,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_dolg\stalker_dolg_sunrise_seva_mask_4,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_dolg\stalker_dolg_sunrise_sts_1,,0.5,0.8,0.1,0.011
actors\stalker_dolg\stalker_dolg_sunrise_sts_2,,0.5,0.8,0.1,0.011
actors\stalker_dolg\stalker_dolg_sunrise_sts_3,,0.5,0.8,0.1,0.011
actors\stalker_dolg\stalker_dolg_sunrise_sts_4,,0.5,0.8,0.1,0.3
actors\stalker_dolg\stalker_dolg_sunrise_sts_gp10_1,,0.5,0.8,0.1,0.3
actors\stalker_dolg\stalker_dolg_sunrise_sts_gp10_2,,0.5,0.8,0.1,0.3
actors\stalker_dolg\stalker_dolg_sunrise_sts_gp10_3,,0.5,0.8,0.1,0.3
actors\stalker_dolg\stalker_dolg_trader,,0.5,0.8,0.1,0
actors\stalker_dolg\stalker_dolg_up_armoured_nos_head,,0.3,0.75,0.2,0.3
actors\stalker_dolg\stalker_dolg_veteran_gp21_custom,,0.3,0.75,0.2,0.011
actors\stalker_dolg\stalker_dolg_voin,dolg_voin_outfit,0.45,0.8,0.15,0.3
actors\stalker_dolg\stalker_dolg_voronin,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_dolg\stalker_dolg_wanderer_1,,0.5,0.8,0.1,0.011
actors\stalker_dolg\stalker_dolgexo4a,dolg_exolight_outfit,0.3,0.7,0.3,0.3
actors\stalker_dolg\stalker_dolgexo4b,exo_dolg_wood_outfit,0.3,0.7,0.3,0.3
actors\stalker_dolg\stalker_dolgexo4b_backpack,,0.3,0.7,0.3,0.3
actors\stalker_dolg\stalker_dolgexo4c,exo_dolg_urban_outfit,0.3,0.7,0.3,0.3
actors\stalker_dolg\stalker_dolgexo_4,exo_dolg_outfit,0.3,0.7,0.3,0.3
actors\stalker_dolg\stalker_dolgexo_4_custom,,0.3,0.7,0.3,0.3
actors\stalker_dolg\stalker_dolgexo_4_custom_2,,0.3,0.7,0.3,0.3
actors\stalker_dolg\stalker_dolgexo_4_gp7b,,0.3,0.7,0.3,0.3
actors\stalker_dolg\stalker_dolgexo_4_gp7b_2,,0.3,0.7,0.3,0.3
actors\stalker_dolg\stalker_dolgexo_4_gp7b_3,,0.3,0.7,0.3,0.3
actors\stalker_dolg\stalker_dolggas2a,"dolg_scout_outfit,helm_resp",0.45,0.8,0.15,0.011
actors\stalker_dolg\stalker_dolggas_2,"dolg_outfit,helm_resp",0.45,0.8,0.15,0.011
actors\stalker_dolg\stalker_f_dolg_sci_ps5_1,,0.5,0.8,0.1,0.011
actors\stalker_dolg\stalker_f_dolg_sci_ps5_2,,0.5,0.8,0.1,0.011
actors\stalker_dolg\stalker_f_dolg_sci_sunrise_1,,0.5,0.8,0.1,0.011
actors\stalker_dolg\stalker_f_dolg_sci_sunrise_2,,0.5,0.8,0.1,0.011
actors\stalker_dolg\stalker_proto_light_1,,0.3,0.75,0.25,0.3
actors\stalker_dolg\stalker_proto_light_2,,0.3,0.75,0.25,0.3
actors\stalker_dolg\stalker_proto_light_3,,0.3,0.75,0.25,0.3
actors\stalker_dolg\stalker_ps5m_berill_1,,0.3,0.75,0.2,0
actors\stalker_dolg\stalker_ps5m_berill_2,,0.3,0.75,0.2,0.011
actors\stalker_dolg\stalker_ps5m_berill_3,,0.3,0.75,0.2,0
actors\stalker_dolg\stalker_ps5m_berill_4,,0.3,0.75,0.2,0.011
actors\stalker_dolg\stalker_ps5m_berill_5,,0.3,0.75,0.2,0
actors\stalker_dolg\stalker_ps5m_berill_6,,0.3,0.75,0.2,0.011
actors\stalker_dolg\stalker_ps5m_berill_7,,0.3,0.75,0.2,0
actors\stalker_dolg\stalker_ps5m_berill_8,,0.3,0.75,0.2,0.011
actors\stalker_ecologist\stalker_ecolog,ecolog_outfit_orange,0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_advanced_nbc_1,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_advanced_nbc_2,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_advanced_nbc_3,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_advanced_nbc_4,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_advanced_scrapper_1,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_advanced_scrapper_2,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_advanced_scrapper_3,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_barman,,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_berill_2ndgen,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_berill_2ndgen_2,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_berill_spp,,0.45,0.7,0.2,0.15
actors\stalker_ecologist\stalker_ecolog_berill_suit_1,,0.3,0.75,0.2,0.3
actors\stalker_ecologist\stalker_ecolog_berill_suit_2,,0.3,0.75,0.2,0.3
actors\stalker_ecologist\stalker_ecolog_berill_suit_3,,0.3,0.75,0.2,0.2
actors\stalker_ecologist\stalker_ecolog_berill_suit_4,,0.3,0.75,0.2,0.3
actors\stalker_ecologist\stalker_ecolog_berill_suit_5,,0.3,0.75,0.2,0.3
actors\stalker_ecologist\stalker_ecolog_berill_suit_6,,0.3,0.75,0.2,0.3
actors\stalker_ecologist\stalker_ecolog_black,,0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_blue,ecolog_outfit_blue,0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_blue_sts_1,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_blue_sts_10,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_blue_sts_2,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_blue_sts_3,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_blue_sts_4,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_blue_sts_5,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_blue_sts_6,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_blue_sts_7,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_blue_sts_8,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_blue_sts_9,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_blue_vest,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_boonie_1,,0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_boonie_2,,0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_brown,,0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_brown_vest,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_doctor,,0.3,0.75,0.25,0
actors\stalker_ecologist\stalker_ecolog_dynamic_lc_battle_helm_gp10,,0.5,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_exo,ecolog_exo_outfit,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_exo._2_m150,ecolog_exo_outfit,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_exo_super_custom,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_exo_super_custom_2,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_exo_w_dy_mask_1,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_exo_w_dy_mask_2,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_exo_w_dy_mask_3,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_exo_w_gp21_1,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_exo_w_gp21_2,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_exo_w_gp21_3,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_exo_with_m150,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_exolight,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_exolight_2_m150,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_exolight_dy_mask_1,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_exolight_dy_mask_2,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_exolight_dy_mask_3,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_exolight_gp21_1,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_exolight_gp21_2,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_exolight_gp7b,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_exolight_half_seva,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_exolight_half_seva_backpack,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_exolight_with_m150,,0.3,0.7,0.3,0.3
actors\stalker_ecologist\stalker_ecolog_exoseva,,0.15,0.7,0.45,0.15
actors\stalker_ecologist\stalker_ecolog_experimental_sci_exolight,,0.15,0.7,0.45,0.15
actors\stalker_ecologist\stalker_ecolog_experimental_sci_exolight_2,,0.15,0.7,0.45,0.15
actors\stalker_ecologist\stalker_ecolog_fstalker_ps5_1,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_fstalker_ps5_2,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_fstalker_sun_1,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_fstalker_sun_2,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_fstalker_sun_3,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_fstalker_sun_4,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_fstalker_sun_5,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_fstalker_sun_6,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_guard,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard1,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard1_gp5,"ecolog_guard_outfit,helm_respirator_gp5",0.7,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard1_mas2,"ecolog_guard_outfit,helm_cloth_mask",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard1_mas3,"ecolog_guard_outfit,helm_cloth_mask",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard1_mask,"ecolog_guard_outfit,helm_cloth_mask",0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_guard1_merc,"ecolog_guard_outfit,helm_m40",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard1_old,"ecolog_guard_outfit,helm_respirator_old",0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_guard1_old_w_vest,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard1_old_w_vest_2,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard1_tactical,"ecolog_guard_outfit,helm_tactic",0.5,0.8,0.1,0.3
actors\stalker_ecologist\stalker_ecolog_guard2,,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard2_gp5,"ecolog_guard_outfit,helm_respirator_gp5",0.7,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard2_lc,,0.5,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard2_lc_2,,0.5,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard2_lc_pbf,,0.5,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard2_lc_pbf_2,,0.5,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard2_lc_ppm,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard2_mas2,"ecolog_guard_outfit,helm_cloth_mask",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard2_mas3,"ecolog_guard_outfit,helm_cloth_mask",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard2_mask,"ecolog_guard_outfit,helm_cloth_mask",0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_guard2_merc,"ecolog_guard_outfit,helm_m40",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard2_old,"ecolog_guard_outfit,helm_respirator_old",0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_guard2_tactical,"ecolog_guard_outfit,helm_tactic",0.5,0.8,0.1,0.3
actors\stalker_ecologist\stalker_ecolog_guard3,,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard3_exo_mask,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard3_exohead,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_guard3_exohead_backpack,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_guard3_goggles,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard3_gp5,"ecolog_guard_outfit,helm_respirator_gp5",0.7,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard3_m150,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard3_m150_vest,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard3_m150_vest_2,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard3_m150_vest_3,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard3_m150_vest_4,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard3_m150_vest_5,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard3_m150_vest_6,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard3_mas2,"ecolog_guard_outfit,helm_cloth_mask",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard3_mas3,"ecolog_guard_outfit,helm_cloth_mask",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard3_mask,"ecolog_guard_outfit,helm_cloth_mask",0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_guard3_mask_goggles,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard3_mask_goggles_2,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard3_mask_goggles_3,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_guard3_merc,"ecolog_guard_outfit,helm_m40",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_guard3_old,"ecolog_guard_outfit,helm_respirator_old",0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_guard3_seva,ecolog_guard_outfit,0.45,0.7,0.2,0.15
actors\stalker_ecologist\stalker_ecolog_guard3_seva_lc,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard3_seva_lc_2,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard3_vest,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_guard_berill_1,,0.3,0.75,0.2,0.011
actors\stalker_ecologist\stalker_ecolog_guard_berill_2,,0.3,0.75,0.2,0.011
actors\stalker_ecologist\stalker_ecolog_guard_berill_3,,0.3,0.75,0.2,0.011
actors\stalker_ecologist\stalker_ecolog_guard_berill_4,,0.3,0.75,0.2,0
actors\stalker_ecologist\stalker_ecolog_guard_berill_5,,0.3,0.75,0.2,0.011
actors\stalker_ecologist\stalker_ecolog_guard_berill_6,,0.3,0.75,0.2,0.3
actors\stalker_ecologist\stalker_ecolog_guard_goggles,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard_goggles_2,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard_new_pbf_connected,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard_new_pbf_connected_2,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard_new_pbf_connected_3,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_guard_ppm_connected,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_guard_ppm_connected_2,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_hatchet,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecolog_lc_1,,0.5,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_lc_2,,0.5,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_lc_3,,0.5,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_lc_4,,0.5,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_lc_5,,0.5,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_lc_6,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_lc_dy_mask_1,,0.5,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_lc_ps5m_custom_1,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_lc_ps5m_custom_2,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_lc_ps5m_hooded_1,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_lc_ps5m_hooded_2,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_lc_ps5m_hooded_3,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_lc_ps5m_hooded_4,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_lc_spp,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_mechanic,,0.3,0.75,0.2,0
actors\stalker_ecologist\stalker_ecolog_medic,"monolith_outfit,helm_respirator",0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_medic_exohead,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_medic_exohead_2,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_medic_exohead_3,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_medic_exohead_pbf,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_merc_custom_1,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_merc_custom_2,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_merc_custom_3,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_military,ecolog_outfit_green,0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_military_ssp,,0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_mobile_exo,,0.45,0.7,0.2,0.3
actors\stalker_ecologist\stalker_ecolog_nauchniy_1,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_nauchniy_2,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_nbc_suit_1,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_nbc_suit_2,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_nbc_suit_3,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_nbc_suit_4,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_nbc_suit_5,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_nbc_suit_6,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_nosorog_mk2,,0.15,0.7,0.47,0.35
actors\stalker_ecologist\stalker_ecolog_nosorog_mk2_2,,0.15,0.7,0.47,0.35
actors\stalker_ecologist\stalker_ecolog_oak,,0.5,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_peregrine,,0.3,0.75,0.25,0.3
actors\stalker_ecologist\stalker_ecolog_pianist,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_ps5_battle_helm_1,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5_battle_helm_2,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5_battle_helm_3,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_gasmask_1,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_gasmask_2,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_gasmask_3,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_tactic_1,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_tactic_2,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_tactic_3,,0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_red,ecolog_outfit_red,0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_red_vest,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_s2_a_pbf_backpack,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_s2_b_pbf_backpack,,0.45,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_s_a,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_s_a_mask,,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_a_old,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_s_a_pbf_backpack,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_s_a_ppm,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_s_b_mask,,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_b_old,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_s_b_pbf_backpack,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_s_b_ppm,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_s_c_mask,,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_c_old,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_s_c_pbf_backpack,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_s_c_ppm,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_spirit,,0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_sts_1,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_sts_2,,0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_sts_3,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_stslc_1,stalker_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_stslc_2,stalker_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_stslc_3,stalker_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_sunrill_1,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_sunrill_2,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_sunrill_3,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_sunrill_4,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_sunrill_5,,0.5,0.8,0.1,0.011
actors\stalker_ecologist\stalker_ecolog_sunrise_seva_mask_1,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_sunrise_seva_mask_2,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_sunrise_seva_mask_3,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_sunrise_sts_gp10_1,,0.4,0.85,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_sunrise_sts_gp10_2,,0.4,0.85,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_sunrise_sts_gp10_3,,0.4,0.85,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_sunrise_sts_gp10_4,,0.4,0.85,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_tookarev,,0.25,0.6,0.25,0.15
actors\stalker_ecologist\stalker_ecolog_trader,,0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_vested_crbn_1,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_vested_crbn_2,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_vested_crbn_3,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_vested_crbn_4,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_vested_crbn_5,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_vested_crbn_6,,0.4,0.85,0.15,0.011
actors\stalker_ecologist\stalker_ecolog_white,ecolog_outfit_white,0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_white_vest,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_yellow,ecolog_outfit_yello,0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_yellow_vest,monolith_scientific_outfit,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecologist_exo_experiement_1,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecologist_exo_experiement_2,,0.15,0.7,0.45,0.3
actors\stalker_ecologist\stalker_ecologist_merc0,"merc_outfit,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecologist_merc2,"merc_outfit,helm_m40",0.5,0.8,0.15,0.011
actors\stalker_ecologist\stalker_ecologist_merc2_exohead,,0.5,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecologist_merc2_exohead_m150,,0.5,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecologist_merc2_exohead_m150_2,,0.5,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecologist_proto,"ecolog_proto_exo_outfit,helm_respirator_old",0.45,0.7,0.2,0.011
