~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_ppsh41_woodnew,st_wpn_ppsh41_new,st_wpn_ppsh41_descr,3.65,21180,A,N,61%,82%,19,900,71,500,630,93%,67,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,,,0.17,0.3,,0.46
wpn_ak103,st_wpn_ak103,st_wpn_ak103_descr,3.60,33860,D,N,73%,72%,42,600,30,900,600,91%,47,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_rpk,st_wpn_rpk,st_wpn_rpk_descr,4.80,35860,D,N,77%,72%,42,600,40,900,621,91%,51,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.585
wpn_ppsh41_rednew,st_wpn_ppsh41_camo,st_wpn_ppsh41_descr,3.60,20580,A,N,64%,82%,19,880,71,500,630,93%,67,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,,,0.17,0.3,,0.46
wpn_ppsh41,st_wpn_ppsh41,st_wpn_ppsh41_descr,3.64,18840,A,N,56%,82%,19,880,71,500,630,93%,67,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,,,0.17,0.3,,0.46
wpn_pkp,st_wpn_pkp,st_wpn_pkp_descr,8.20,74880,D,N,77%,70%,76,650,100,1000,866,91%,45,ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap,,,,,0.37,0.65,0.77
wpn_ak74_alt,st_wpn_ak74_alt,st_wpn_ak74_descr,3.30,30380,C,N,79%,76%,36,660,30,1000,939,93%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_galil_custom,st_wpn_galil_custom,st_wpn_galil_descr,3.95,35480,D,N,87%,70%,50,684,25,1000,876,91%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,0.3,0.61,0.76
wpn_pkm,st_wpn_rp,st_wpn_rp_descr,7.50,66850,D,N,77%,70%,76,650,100,1000,866,91%,45,ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap,,,,,0.37,0.65,0.77
wpn_aek,st_wpn_aek971,st_wpn_aek971_descr,3.40,42950,C,N,83%,77%,36,900,30,1000,923,92%,60,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.5
wpn_ak74_custom,st_wpn_ak74_custom,st_wpn_ak74_descr,3.30,31580,C,N,81%,76%,36,640,30,1000,950,95%,90,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_m16a2,st_wpn_m16a2,st_wpn_m16a2_descr,3.51,35880,C,N,73%,71%,30,700,30,1000,1019,90%,92,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_groza_nimble,st_wpn_groza_nimble,st_wpn_groza_nimble_descr,4.10,42580,D,N,79%,72%,42,750,30,900,604,91%,32,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_ak74_modern,st_wpn_ak74_modern,st_wpn_ak74_descr,3.30,29560,C,N,77%,76%,36,680,30,1000,931,93%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_g3sg1,st_wpn_g3sg1,st_wpn_g3sg1_descr,4.70,43980,D,N,82%,71%,50,500,20,1000,861,80%,39,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_m4a1_freedom,st_wpn_m4a1_freedom,st_wpn_m4a1_descr,3.10,33350,C,N,79%,80%,29,850,30,1000,985,92%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.49
wpn_m4a1_custom,st_wpn_m4a1_custom,st_wpn_m4a1_descr,3.10,35980,C,N,81%,80%,29,820,30,1000,985,92%,95,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.49
wpn_vihr,st_wpn_vihr,st_wpn_vihr_descr,2,53580,D,N,78%,82%,53,900,30,600,350,90%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_xm8,st_wpn_xm8,st_wpn_xm8_descr,3.77,43880,C,N,80%,71%,30,750,30,1000,1024,99%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.509
wpn_lr300_camo,st_wpn_lr300_camo,st_wpn_lr300_descr,3.10,36880,C,N,82%,79%,29,920,30,1000,931,92%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.485
wpn_sig552,st_wpn_sig552,st_wpn_sig552_descr,3.20,35580,C,N,76%,83%,28,780,30,900,817,90%,56,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.48
wpn_pkm_zulus,st_wpn_pkm_zulus,st_wpn_pkm_zulus_descr,7.60,81960,D,N,77%,70%,76,680,100,1000,866,90%,48,ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap,,,,,0.37,0.65,0.77
wpn_m4a1_camo,st_wpn_m4a1_camo,st_wpn_m4a1_descr,3.10,38680,C,N,82%,81%,29,830,30,1000,985,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.49
wpn_ak74u_snag,st_wpn_ak74u_snag,st_wpn_ak74u_snag_descr,2.98,28950,C,N,64%,83%,29,750,45,900,785,92%,50,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.4
wpn_l85_alt,st_wpn_l85_alt,st_wpn_l85_descr,3.88,35680,C,N,86%,79%,30,700,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_ak74m_pka,st_wpn_ak74m_pk-a,st_wpn_ak74m_pk-a_descr,3.40,40680,C,N,79%,76%,36,650,30,1000,946,93%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_scar_new,st_wpn_scar_new,st_wpn_scar_descr,3.60,56880,D,N,89%,72%,50,663,20,1000,842,90%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_ak74u_old,st_wpn_ak74u_old,st_wpn_ak74u_old_descr,2.48,17860,C,N,61%,83%,28,690,30,900,761,90%,50,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.39
wpn_scar,st_wpn_scar,st_wpn_scar_descr,3.60,55880,D,N,87%,72%,50,650,20,1000,842,90%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_ak74m_camo,st_wpn_ak74m_camo,st_wpn_ak74m_descr,3.40,38360,C,N,81%,76%,36,650,30,1000,939,93%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_g36,st_wpn_g36,st_wpn_g36_descr,3.77,35880,C,N,80%,71%,30,750,30,1000,1024,92%,80,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_ak74_old,st_wpn_ak74_old,st_wpn_ak74_old_descr,3.30,23580,C,N,75%,76%,36,650,30,1000,918,91%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_ak74u_camo,st_wpn_ak74u_camo,st_wpn_ak74u_descr,2.48,24550,C,N,64%,83%,35,765,30,900,782,92%,54,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.485
wpn_aug_modern,st_wpn_aug_modern,st_wpn_aug_modern_descr,3.30,28580,C,N,81%,88%,30,680,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_akm,st_wpn_akm,st_wpn_akm_descr,3.30,31780,D,N,70%,72%,42,600,30,900,600,91%,43,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_ak74u,st_wpn_ak74u,st_wpn_ak74u_descr,2.48,20870,C,N,62%,83%,35,700,30,900,771,90%,50,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.485
wpn_groza,st_wpn_groza,st_wpn_groza_descr,4,41860,D,N,75%,82%,53,700,20,400,210,90%,60,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_abakan,st_wpn_abakan,st_wpn_abakan_descr,3.85,35850,C,N,82%,71%,36,600,30,1000,944,91%,60,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.5
wpn_aug_freedom,st_wpn_aug_freedom,st_wpn_aug_descr,3.30,28380,C,N,79%,88%,30,775,30,1000,1041,92%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_ak102,st_wpn_ak102,st_wpn_ak102_descr,3.20,26690,C,N,67%,80%,29,600,30,1000,951,91%,65,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.49
wpn_mk14,st_wpn_mk14,st_wpn_mk14_descr,5.10,52130,D,N,86%,88%,50,725,20,1000,887,90%,35,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.76
wpn_ak101,st_wpn_ak101,st_wpn_ak101_descr,3.60,33850,C,N,77%,76%,30,600,30,1000,1007,91%,65,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_vsk94,st_wpn_vsk94,st_wpn_vsk94_descr,2.80,43960,D,N,83%,82%,53,700,20,600,350,85%,60,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_ak104,st_wpn_ak104,st_wpn_ak104_descr,3.20,26550,D,N,68%,80%,41,600,30,900,562,91%,47,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.57
wpn_fn2000,st_wpn_fn2000,st_wpn_fn2000_descr,3.80,45880,C,N,84%,80%,30,850,30,1000,1030,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_aug_custom,st_wpn_aug_custom,st_wpn_aug_descr,3.30,31580,C,N,83%,88%,30,700,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_l85_modern,st_wpn_l85_modern,st_wpn_l85_descr,3.88,38980,C,N,87%,79%,30,730,30,1000,1041,92%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_type63,st_wpn_type63,st_wpn_type63_descr,3.86,22880,D,N,83%,65%,42,700,20,900,617,81%,28,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,0.4,0.61,0.58
wpn_famas3,st_wpn_famas3,st_wpn_famas3_descr,3.80,44900,C,N,79%,78%,30,950,30,1000,1030,90%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_fn2000_camo,st_wpn_fn2000_camo,st_wpn_fn2000_descr,3.80,53650,C,N,86%,80%,30,860,30,1000,1131,92%,91,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_akms,st_wpn_akms,st_wpn_akms_descr,3.30,31780,D,N,70%,72%,42,600,30,900,600,91%,43,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_ash12,st_wpn_ash12,st_wpn_ash12_descr,4.50,57100,D,N,86%,69%,59,650,10,900,525,75%,32,ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo_12.7x55_ap;ammo_12.7x55_ap;ammo_12.7x55_ap,,,,,0.35,1.5,0.66
wpn_m60,st_wpn_m60,st_wpn_m60_descr,10.50,67000,D,N,83%,88%,50,500,100,1000,895,90%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.765
wpn_ak12,st_wpn_ak12,st_wpn_ak12_descr,3.20,36880,C,N,79%,76%,36,650,30,1000,939,91%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
