Translation Key,Translated Value
ui_inv_outfit_artefact_count,Belt slots
ui_ammo_types,Ammo
renegade_exo_outfit_name,Renegade exoskeleton
ui_inv_reli,ui_inv_reli
ui_inv_handling,Handling
st_barrel_8,5.45mm barrel [À]
ui_mm_repair,Repair
st_wpn_xm8,XM8
st_wpn_wa2000,Walther WA 2000
st_wpn_vintorez_nimble,VSS Vintorez "Tide"
st_af_aac_name,Artefact Application Container (empty)
st_prop_restore_health,Health restoration
st_wpn_vintorez_alt,VSS Vintorez (alternate)
st_wpn_toz34_mark4,TOZ-34 "Bizon"
st_wpn_svu_nimble,OTs-03A SVU-A
st_tushonka,"Abakan" beef tushonka
merc_scientific_outfit_name,Mercenary SEVA suit
st_prt_o_ballistic_10,Grade-A polyethylene plates w/ expanded carrier
st_wpn_colt1911_duty,Colt M1911 (Duty camouflage)
pda_encyclopedia_tier,Tier
st_wpn_fn57,FN Five-seveN
st_mirror,Telescopic mirror
st_wpn_remington700,Remington 700
st_batteries,Battery pack
st_ecologist_outfit_orange_name,SSP-99 Ecologist
st_wpn_mp5sd,MP5SD6
st_wpn_pkm_zulus,Zulu's PKM
st_wpn_mp5_nimble,MP5A3 "Frasier"
merc_jackal_outfit_name,Mercenary LTS-J body suit
dolg_heavy_redline_outfit_name,PSZ-9kl command armour
exo_outfit_name,Exoskeleton
stalker_autumn_outfit_name,"Autumn" stalker suit
st_ecologist_outfit_red_name,SSP-99Ì Ruby
bandit_sun_outfit_name,"Sunset" tactical suit
st_prt_w_p_spring_3,.45 recoil spring assembly
st_detector9,RF receiver
exo_merc_grass_outfit_name,Mercenary grassland exosuit
ui_inv_outfit_power_restore,Stamina Recovery
st_wpn_ump45,UMP45
merc_nosorog_outfit_name,Mercenary Nosorog
light_merc_outfit_name,Mercenary IBAz suit
nbc_freedom_outfit_name,Keeper of Freedom
st_meat_psysucker,Psysucker goulash
st_survival_kit,Small survival kit
cs_stalker_outfit_name,CS-2b body armour
ammo-12.7x55-fmj,12.7x55mm STs-130 rounds
st_af_star_phantom_name,Phantom star
st_wpn_walther_custom,Walther P99 (custom)
st_stim_scientic,Scientific stimpack
st_gas_tube_5,Gas tube [A|V][Russia]
st_wpn_fal,FN FAL
st_wpn_vsk94,VSK-94
military_proto_exo_outfit_name,Skat-9 proto-exoskeleton
merc_exolight_outfit_name,Mercenary exosuit
st_bolt_14,Rotating locking head [À/PP]
st_vodka_quality,Stolichnaya vodka
dolg_proto_exo_outfit_name,PS5-M proto-exoskeleton
st_steel_wool,Steel wool
st_shovel_mili,Military field shovel
st_bolt_carrier_3,Sliding bolt carrier with turning bolt lock [NATO]
st_jewelry_box,Decorated jewellery box
st_data_export_power_restore_max,Total stamina recovery
st_helm_respirator,Refitted PBF gas mask kit
csky_medium_outfit_name,CS-3a body armour
stalker_tigerstripe_outfit_name,"Tigerstripe" stalker suit
st_bottle_metal,Metal bottle
monolith_nosorog_outfit_name,Monolith Nosorog
st_af_death_lamp_name,Death Lamp
st_wpn_sig550_sniper,SIG SG550-1 Sniper
st_wpn_ak74_modern,AK-74N (modern)
st_sleepingpills,027 R pills
st_prt_o_retardant_7,Insulating magnesium grid and inserts
st_prt_o_ballistic_15,Carbon nanotube layers w/ Kevlar-49 fabrics
st_bolt_8,Rotating locking head [6 locks][À]
st_shovel_old,Metal shovel
st_ecologist_outfit_yello_name,SSP-99 Topaz
st_wpn_mp5,MP5A3
st_prt_o_retardant_12,Aluminized fiberglass fabrics
st_barrel_5,7.92mm barrel [V]
st_monolith_prayer_2_of_3_name,Monolith prayer (part 2 of 3)
st_wpn_k98,Karabiner 98 Kurz
ammo-11.43x23-hydro,.45 ACP Hydra-shock rounds
st_letter_mercenary_name,Mercenary's note
st_prt_o_ballistic_17,Polyethylene fibre layers w/ Polycarbonate inserts
st_knife_needle,NR-40 scout's knife
st_af_lighthouse_name,Beacon
st_gas_tube_9,Ejector from over-under double-barrel shotgun [R]
st_upgr_w_scope_mount,Optical mount set
st_barrel_4,7.62mm barrel [V]
st_wpn_g36k,G36K
st_porn2,Ukrainian MAXIM
st_wpn_akm,AKMN
st_meat_lurker,Lurker chops
st_bolt_carrier_9,Chock from a double-barrel shotgun [R]
ammo-7.62x39_ap,7.62x39 mm M43 rounds
st_prt_o_ballistic_16,Carbon nanotube layers w/ Kevlar-29 fabrics (Reinforced)
st_wpn_mp412,MP-412 Rex
ammo-7.62x51_fmj,7.62x51 mm NATO ball rounds
bandit_scientific_outfit_name,Looted SEVA suit
st_prt_i_wood,Wooden parts
ammo-7.62x39_fmj,7.62x39 mm FMJ rounds
pda_encyclopedia_name,Name
st_walkie,Walkie talkie
st_wpn_mp5sd_new,MP5SD6 (new)
st_prt_o_retardant_13,PBI-blended fabrics
st_wpn_pmm,PMM
st_wpn_rpk74,RPK-74N
st_recipe_expert_1,Engineering manual (1st edition)
st_ecologist_report_1_of_3_name,Walking Dead Findings field report 39B rev. 2 (part 1 of 3)
st_upgr_w_magazine,High-capacity magazine set
st_wpn_cz75_auto,CZ-75 Automatic
st_wpn_galil_custom,Galil AR (custom)
st_wpn_l85_alt,L85A1 (alternate)
st_prt_i_scrap,Metallic scrap
military_merc_outfit_name,Mercenary Skat-9 armoured suit
ammo-5.56x45-ap,5.56x45 mm AP rounds
st_wpn_hk416,HK416
st_meat_pseudodog,Pseudodog chops
st_bandage,Bandage
st_ied,Improvised explosive device (based on chemicals)
st_trigger_components_3,Triple fire mode trigger mechanism with hammer
st_wpn_colt1911_alt,Colt M1911 (alternate)
mutant_snork_hand,Snork hand
st_wpn_aks,AKS-47
greh_armored_camo_outfit_name,Vyriy flak armour
st_af_black_angel_name,Black Angel
st_wpn_rg6,RG-6
st_equ_touristpack_name,Tourist backpack
st_prt_o_retardant_20,Insulating fibreglass "Satin Weave" fabrics
isg_lcs_outfit_name,UNISG LC suit
st_gun_oil_ru,"Rusak" gun oil
st_hand_rolling_tobacco,Hand-rolling tobacco
ammo-357-hp,.357 HP rounds
isg_nosorog_outfit_name,UNISG Nosorog
travel_outfit_name,"Voyager" stalker suit
st_helm_respirator_gp5,GP-5 gas mask
st_boots,Leather boots
st_helm_cloth_mask,Cloth mask
st_data_export_restore_radiation_max,Total radiation restoration
st_akvatab,Akvatabs
st_bolt_carrier_1,Sliding bolt carrier with turning bolt lock [Russia]
st_wpn_lr300_custom,LR-300ML (custom)
st_wpn_beretta_alt,Beretta 92F (alternate)
ammo-9x18-pmm,9x18 mm +P+ rounds
st_wpn_m98b,Barrett M98B "Bravo"
cs_stalker_proto_exo_outfit_name,CS-2b proto-exoskeleton
st_data_export_weapon_kind_shotgun,Shotgun
st_wpn_val,AS Val
st_hide_pseudogiant_name,Pseudogiant hide
st_wpn_mp5sd_custom,MP5SD6 (custom)
st_grenade_f1,F1 grenade
cs_exolight_outfit_name,CS-5 exosuit
st_wpn_vepr12,Vepr-12 "Hammer"
st_meinkampf,Mein Kampf
st_wpn_p90,FN P90
st_prop_restore_bleeding,Wound healing
st_wpn_vz61_camo,Skorpion vz.61 (camouflaged)
st_helm_m40,M40 gas mask
ammo_12.7x55_ap,12.7x55 mm STs-130 VPS rounds
st_energy_drink,Strong energy drink
st_pda_3_name,PDA (Version 3.1)
st_data_export_sleepiness,Sleepiness
renegademerc_outfit_name,Renegade LC suit
st_flashlight_broken,Broken flashlight
st_af_fountain_name,Fountain
st_meat_chimera,The Masculine Meal
st_wpn_bm16_alt,TOZ-66 (alternate sawn-off)
st_chili,Chili beans
merc_scientific_armored_outfit_name,Mercenary SEVA body armour
merc_fighter_outfit_name,Mercenary LC-F suit
st_wpn_scar_new,FN SCAR-H (new)
st_protein,Chocolate protein bar
st_helm_rp_bala,Balaclava
military_sky_outfit_name,CS-4b armoured suit
st_kolbasa,Pack of old meat
st_pda_1_name,PDA
st_prt_i_plastic,Plastic film
st_wpn_desert_eagle_modern,Desert Eagle (modern)
st_prt_o_ballistic_20,Reinforced carbon fibre layers
st_guitar_name,Guitar
st_wpn_gauss,Gauss rifle
st_af_signet_name,Signet
st_wpn_ppsh41_camo,PPSh-41 (camo)
st_prt_o_ballistic_12,Reinforced Kevlar K119 plates
st_pda_2_name,PDA (Version 2.0)
hybrid_outfit_name,Hybrid armoured suit
st_salicidic_acid,Metamizole ampoule
st_af_eye_name,Eye
st_medkit_science,Scientific medkit
st_hide_psysucker_name,Psysucker skin
st_prt_o_ballistic_3,Kevlar K129 plates w/ Polycarbonate composite
st_yadylin,Yadulin
st_wpn_ak74_alt,AK-74N (alternate)
st_exo_repair_kit,Exoskeleton repair kit
ammo-9x39-pab9,9x39 mm SP-5 rounds
st_recipe_basic_4,Survival guide (issue #4)
st_wpn_spas12,SPAS-12
st_data_export_projectiles,Projectiles
ammo-12x70-buck,12x70 buckshot shells
st_af_geliy_name,Helium
ace_outfit_name,Mercenary ACE scientific suit
st_fieldcooker,Multi-fuel stove
dolg_voin_outfit_name,PS6-V warrior suit
st_grenade_thermite,Thermite grenade
st_geiger_dead,Geiger counter
st_af_zhelch_name,Scar
st_af_empty_name,Empty
st_barrel_7,7.62mm barrel [A|V]
st_af_pin_name,Pin
bandit,Bandit
st_af_soul_name,Soul
st_wpn_cz75,CZ-75
st_wpn_scar_custom,FN SCAR-H (camouflaged)
st_wpn_toz34_obrez_custom,TOZ-34 (custom sawn-off)
st_mineral_water,Mineral water
st_prt_w_p_spring_4,9mm recoil spring assembly [Western]
st_cigar3,Soviet cigarettes
ui_inv_accuracy,Accuracy
st_upgr_o_burn,Flame-retardant fabrics and inserts
st_wpn_aug_a3,Steyr AUG A3
st_ecologist_report_2_of_3_name,Walking Dead Findings field report 39B rev. 2 (part 2 of 3)
st_recipe_advanced_4,Mechanics manual (4th edition)
st_upgr_w_rpm,Titanium return mechanism rods
st_data_export_fragments,Fragments
st_af_elektron_name,Electron
ammo-9x39-ap,9x39 mm SP-6 rounds
st_wpn_colt1911_merc,Colt M1911 (merc camouflage)
st_welding_goggles,Welding goggles
st_hide_burer_name,Burer skin
st_device_torch_nv_3_name,Headlamp w/ Oracle psy-stimulator
st_af_atom_name,Atom
ecolog,Ecologist
st_glucose_s,Small glucose shot
st_wpn_colt1911_modern,Colt M1911 (modern)
ammo-5.56x45-ss190,5.56x45 mm EP rounds
ui_inv_bspeed,ui_inv_bspeed
st_detector3,Veles detector
st_wpn_l85,L85A1
dolg_exolight_outfit_name,PSZ-10d Duty battlesuit
st_wpn_m79,M79
helm_ppm88,PPM-88 gas mask
st_wpn_lr300,LR-300ML
st_device_flashlight,Flashlight
st_wpn_fn2000_camo,FN F2000 (camouflaged)
st_device_torch_nv_2_name,Headlamp w/ PN21KL Nightvision\n
st_wpn_9a91,9A-91
st_vodka,Nemiroff vodka
st_wpn_m4a1_custom,M4A1 (custom)
st_wpn_svd,SVD
st_wpn_l85a2_custom,L85A2 (custom)
st_upgr_o_carry,Fastening system for load distribution
ammo-4.6x30-fmj,4.6x30 mm FMJ rounds
st_bolt_4,Rotating locking head [2 locks][V]
st_wpn_ak104,AK-104
st_prop_weight,Weight
st_wpn_m4a1_freedom,M4A1 (Freedom camouflage)
ammo-9x18-fmj,9x18 mm FMJ rounds
st_af_cooler_up_name,Improved body cooler
st_ecologist_report_3_of_3_name,Walking Dead Findings field report 39B rev. 2 (part 3 of 3)
st_letter_military_log_name,Communication log / MSRC operation / 05.04.2014 18:36:21
st_data_export_stash_type_common,Common
st_wpn_g3,G3A3
st_stalker_letter_2_of_2_name,Memoir (part 2 of 2)
st_itm_mapkit_1,Anomaly map (Army Warehouses)
st_kit_hunt,Hunter's kit
st_wpn_mosin,Mosin-Nagant
st_vodka2,Putinka vodka
st_af_electra_sparkler_name,Sparkler
st_analgetic,Diclofenac sodium
killer,Mercenary
st_wpn_scar,FN SCAR-H
st_wpn_sks_modern,SKS (modern)
csky,Clear Sky
isg,UNISG
renegade,Renegade
st_hide_psy_dog_name,Psy-dog fur
st_wpn_ak74m_duty,AK-74M (Duty camouflage)
st_rank_veteran,Veteran
st_rank_trainee,Trainee
st_rank_professional,Professional
ammo-7.62x25-p,7.62x25 mm P rounds
st_rank_sniper,Sniper squad
st_detector4,Svarog detector
st_wpn_fort,Fort-17
ui_inv_outfit_burn_protection,Burn Res.
st_af_bat_name,Bat
st_bolt_12,Hammers from a hammer-type double-barrel shotgun [R]
st_wpn_m4,M4A1 RAS
st_af_black_name,Black Stone
military_freedom_outfit_name,Liberated Skat-9 armoured suit
ui_inv_outfit_strike_protection,Impact Res.
st_wpn_svu,OTs-03 SVU
st_wpn_ak101_camo,AK-101 (camouflaged)
st_wpn_usp_match,USP Match
st_wpn_mp133,MP-133
st_wpn_l85a2_modern,L85A2 (modern)
st_wpn_svt40,SVT-40
ammo-gauss_cardan,Home-made batteries
st_upgr_w_weight,Mobile counter-weight components
st_beans,Baked beans
st_wpn_pm_custom,PM (custom)
st_letter_stalker_letter_3_name,Letter to Nikolai
st_wpn_ak74m_camo,AK-74M (camouflaged)
st_itm_mapkit_4,Anomaly map (Dead City)
st_bolt_15,Drummer with the mainspring [PP]
st_wpn_gsh18_custom,Gsh-18 (custom)
st_wpn_aug_modern,Steyr AUG A1 (modern)
st_wpn_sig550_custom,SIG SG550 (custom)
st_hide_bloodsucker_name,Bloodsucker skin
st_af_freon_up_name,Improved freon emission module
st_wpn_beretta,Beretta 92F
st_wpn_fnx45_alt,FNX-45 Tactical (alternate)
st_wpn_walther,Walther P99
st_data_export_impulse,Impulse
st_prt_o_retardant_8,Insulating reinforced magnesium-oxide grid
st_gas_tube_4,Gas tube [AS/PP]
dolg_exo_outfit_name,PSZ-10d exoskeleton
st_prt_w_p_barrel_5,7.62mm barrel
st_matches,Firestarter set
st_wpn_protecta_camo,Armsel Protecta (camouflaged)
ammo-9x18-ap,9x18 RG028 rounds
st_wpn_ak12,AK-12
st_itm_expertkit_name,Expert tools
st_af_fonar_name,Lamp
st_wpn_galil_modern,Galil AR (modern)
ecologist_guard_outfit_name,ISRIT guard jumpsuit
st_wpn_beretta_modern,Beretta 92F (modern)
novice_outfit_name,Leather jacket
st_salmon,Smoked salmon
st_data_export_is_backpack,Is backpack
st_wpn_rp,PKM
dolg_novice_outfit_name,Duty leather jacket
st_upgr_w_inertion,Ergonomic receivers with different shapes
st_prt_i_paper,Paper sheets
st_glue_b,"Zviezda" glue tube
st_wpn_colt1911_camo,Colt M1911 (camouflaged)
st_wpn_vintorez,VSS Vintorez
st_stim_military,Military stimpack
ammo-7.62x54-r,7.62x54 mm PP rounds
st_data_export_weapon_kind_sniper,Sniper Rifle
st_solvent,Hoppe's "No. 9" cleaning solvent
st_meat_bloodsucker,Bloodsucker goulash
~,~
monolith_scientific_outfit_name,Monolith scientific suit
st_wpn_toz34_custom,TOZ-34 (custom)
st_wpn_rpd,RPD
st_wpn_vityaz,PP-19-01 Vityaz
st_tobacco,Russian tobacco
st_wpn_mp5_custom,MP5A3 (custom)
st_af_bracelet_name,Bracelet
st_wpn_l85a2,L85A2
st_wpn_spas12_custom,SPAS-12 (custom)
st_wpn_toz34_obrez,TOZ-34 (sawn-off)
st_data_export_from,from
st_tomato,Canned tomatoes
st_wpn_vz61_alt,Skorpion vz.61 (alternate)
st_bolt_13,Rotating locking head [2 locks][À][NATO]
st_wpn_pm,PM
st_wpn_svt40_modern,SVT-40 (modern)
st_stalker_letter_1_of_2_name,Memoir (part 1 of 2)
st_grooming,Grooming kit
st_wpn_ak74u,AKS-74UN
st_wpn_l96a1,L96A1
st_device_torch_name,Headlamp
st_wpn_vssk,VSSK Vykhlop
st_ui_dbg_spawn_type,Item type
mutant_tushkano_meat,Rodent meat
st_wpn_spas12_nimble,SPAS-12 (modern)
st_helm_battle,Sphere M12 helmet
ammo-5.7x28-ss190,5.7x28 SS190 rounds
st_wpn_sig220_nimble,SIG P220 "Alpine"
st_wpn_ak74m_custom,AK-74M (custom)
st_itm_mapkit_6,Anomaly map (Jupiter)
st_prt_o_retardant_2,Layered chemical/shock retardant fabrics
st_wpn_famas3,FAMAS F3
st_wpn_tt33,TT-33
st_barrel_2,18.5mm barrel [R]
st_wpn_l96a1m,L96 AWSM
st_wpn_val_modern,AS Val (modern)
merc_coyote_outfit_name,Mercenary MTS-C body suit
st_monolith_prayer_3_of_3_name,Monolith prayer (part 3 of 3)
st_conserva,Can of tuna
st_trigger_components_4,Single fire mode trigger mechanism with firing pin
st_wpn_groza_nimble,OTs-14-1A Groza-1
st_wpn_g36_camo,G36 (camouflaged)
isg_scientific_outfit_name,UNISG SEVA suit
specops_bandit_outfit_name,Deserter's B-5M armoured suit
merc_combat_scientific_outfit_name,Mercenary pathfinder
merc_sunset_outfit_name,Mercenary LCz suit
st_jgut_zhgut,Tourniquet
ammo-9x19-fmj,9x19 mm FMJ rounds
st_wpn_m24,M24 SWS "Green Dragon"
st_recipe_basic_2,Survival guide (issue #2)
st_corn,Canned corn
military_exolight_outfit_name,Military stalker exosuit
st_recipe_advanced_3,Mechanics manual (3rd edition)
exo_dolg_outfit_name,PSZ-10d Duty battlesuit
st_af_kogot_name,Claw
exo_merc_urban_outfit_name,Mercenary urban exosuit
army_outfit_name,Military service outfit
greh_trenchcoat_outfit_name,Sin heavy overcoat
st_lead_box_name,Lead-lined metal container (empty)
st_knife_hunting,Hunting knife
bandit_scientific_dark_outfit_name,Patchwork closed cycle apparatus
monolith_proto_exo_outfit_name,X-18 proto-exoskeleton
st_prt_o_fabrics_2,Cloth sheets (synthetic)
st_bolt_1,Dropping-block breech [R]
st_af_medallion_name,Medal
st_wpn_ppsh41_new,PPSh-41 (modern)
st_caffeine,Caffeine tablets
monolith_trenchcoat_outfit_name,Monolith overcoat
st_wpn_ak105,AK-105
st_prt_o_retardant_14,PBI-blended fabrics w/ polyester treatment
st_af_iam_name,Improvised Application Module (empty)
st_upgr_o_durability,Durable plates and fabrics
st_meat_tushkano,Rat skewers
st_prt_o_fabrics_1,Cloth sheets
