~,st_data_export_visual_item_id,st_data_export_hit_fraction,st_data_export_ap_scale,st_data_export_body_bonearmor,st_data_export_head_bonearmor
actors\stalker_ecologist\stalker_ecolog_medic_exohead_pbf,"ecolog_guard_outfit,helm_exo",0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_merc_custom_1,"ecolog_guard_outfit,helm_m40",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_merc_custom_2,"ecolog_guard_outfit,helm_m40",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_merc_custom_3,"ecolog_guard_outfit,helm_m40",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_military,"ecolog_outfit_green,helm_protective",0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_military_ssp,"hybrid_outfit,helm_protective",0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_mobile_exo,"ecolog_exo_outfit,helm_protective",0.45,0.7,0.2,0.3
actors\stalker_ecologist\stalker_ecolog_nauchniy_1,"ecolog_guard_outfit,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_nauchniy_2,"ecolog_guard_outfit,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_nbc_suit_1,"ecolog_guard_outfit,helm_respirator_gp5",0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_nbc_suit_2,"ecolog_guard_outfit,helm_respirator_gp5",0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_nbc_suit_3,"ecolog_guard_outfit,helm_respirator_gp5",0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_nbc_suit_4,"ecolog_guard_outfit,helm_respirator_gp5",0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_nbc_suit_5,"ecolog_guard_outfit,helm_respirator_gp5",0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_nbc_suit_6,"ecolog_guard_outfit,helm_respirator_gp5",0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_nosorog_mk2,"ecolog_exo_outfit,helm_spartan",0.15,0.7,0.65,0.35
actors\stalker_ecologist\stalker_ecolog_nosorog_mk2_2,"ecolog_exo_outfit,helm_spartan",0.15,0.7,0.65,0.35
actors\stalker_ecologist\stalker_ecolog_oak,,0.5,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_peregrine,,0.3,0.75,0.25,0.3
actors\stalker_ecologist\stalker_ecolog_pianist,,0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_ps5_battle_helm_1,"ecolog_guard_outfit,helm_battle",0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5_battle_helm_2,"ecolog_guard_outfit,helm_battle",0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5_battle_helm_3,"ecolog_guard_outfit,helm_battle",0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_gasmask_1,"ecolog_guard_outfit,helm_m50",0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_gasmask_2,"ecolog_guard_outfit,helm_m50",0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_gasmask_3,"ecolog_guard_outfit,helm_m50",0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_tactic_1,"ecolog_guard_outfit,helm_tactic",0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_tactic_2,"ecolog_guard_outfit,helm_tactic",0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_ps5m_tactic_3,"ecolog_guard_outfit,helm_tactic",0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_red,"ecolog_outfit_red,helm_protective",0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_red_vest,"ecolog_outfit_red,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_s2_a_pbf_backpack,"ecolog_guard_outfit,helm_respirator",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_s2_b_pbf_backpack,"ecolog_guard_outfit,helm_respirator",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_s_a,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_a_mask,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_a_old,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_a_pbf_backpack,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_a_ppm,"ecolog_guard_outfit,helm_ppm88",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_b_mask,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_b_old,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_b_pbf_backpack,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_b_ppm,"ecolog_guard_outfit,helm_ppm88",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_c_mask,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_c_old,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_c_pbf_backpack,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_s_c_ppm,"ecolog_guard_outfit,helm_ppm88",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_spirit,,0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_sts_1,"hybrid_outfit,helm_protective",0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_sts_2,"hybrid_outfit,helm_protective",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_sts_3,"hybrid_outfit,helm_protective",0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_stslc_1,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_stslc_2,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_stslc_3,ecolog_guard_outfit,0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_sunrill_1,"ecolog_guard_outfit,helm_resp",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_sunrill_2,"ecolog_guard_outfit,helm_resp",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_sunrill_3,"ecolog_guard_outfit,helm_resp",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_sunrill_4,"ecolog_guard_outfit,helm_resp",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_sunrill_5,"ecolog_guard_outfit,helm_resp",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_ecolog_sunrise_seva_mask_1,"ecolog_guard_outfit,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_sunrise_seva_mask_2,"ecolog_guard_outfit,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_sunrise_seva_mask_3,"ecolog_guard_outfit,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_sunrise_sts_gp10_1,"ecolog_guard_outfit,helm_ranger",0.4,0.85,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_sunrise_sts_gp10_2,"ecolog_guard_outfit,helm_ranger",0.4,0.85,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_sunrise_sts_gp10_3,"ecolog_guard_outfit,helm_ranger",0.4,0.85,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_sunrise_sts_gp10_4,"ecolog_guard_outfit,helm_ranger",0.4,0.85,0.15,0.3
actors\stalker_ecologist\stalker_ecolog_tookarev,,0.25,0.6,0.25,0.15
actors\stalker_ecologist\stalker_ecolog_trader,,0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_ecolog_vested_crbn_1,ecolog_outfit_white,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_vested_crbn_2,ecolog_outfit_white,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_vested_crbn_3,ecolog_outfit_white,0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_vested_crbn_4,ecolog_outfit_white,0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_vested_crbn_5,ecolog_outfit_white,0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_vested_crbn_6,ecolog_outfit_white,0.4,0.85,0.15,0
actors\stalker_ecologist\stalker_ecolog_white,"ecolog_outfit_white,helm_protective",0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_white_vest,"ecolog_outfit_white,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecolog_yellow,"ecolog_outfit_yello,helm_protective",0.8,0.9,0.075,0.15
actors\stalker_ecologist\stalker_ecolog_yellow_vest,"ecolog_outfit_yello,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecologist_exo_experiement_1,ecolog_exo_outfit,0.15,0.7,0.55,0.3
actors\stalker_ecologist\stalker_ecologist_exo_experiement_2,ecolog_exo_outfit,0.15,0.7,0.55,0.3
actors\stalker_ecologist\stalker_ecologist_merc0,"merc_outfit,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_ecologist\stalker_ecologist_merc2,"merc_outfit,helm_m40",0.5,0.8,0.15,0
actors\stalker_ecologist\stalker_ecologist_merc2_exohead,"ecolog_guard_outfit,helm_exo",0.5,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecologist_merc2_exohead_m150,"ecolog_guard_outfit,helm_m50",0.5,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecologist_merc2_exohead_m150_2,"ecolog_guard_outfit,helm_m50",0.5,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecologist_proto,"ecolog_proto_exo_outfit,helm_respirator_old",0.45,0.7,0.2,0
actors\stalker_ecologist\stalker_ecologist_proto_stalker,ecolog_proto_exo_outfit,0.45,0.7,0.2,0
actors\stalker_ecologist\stalker_ecologist_proto_stalker_exohead,ecolog_proto_exo_outfit,0.45,0.7,0.2,0.3
actors\stalker_ecologist\stalker_ecologist_proto_stalker_exohead_half_seva,ecolog_proto_exo_outfit,0.45,0.7,0.2,0.3
actors\stalker_ecologist\stalker_ecologist_proto_stalker_pbf,ecolog_proto_exo_outfit,0.45,0.7,0.2,0
actors\stalker_ecologist\stalker_ecologist_proto_stalker_ppm,"ecolog_proto_exo_outfit,helm_ppm88",0.45,0.8,0.15,0.3
actors\stalker_ecologist\stalker_ecologist_proto_with_glass,ecolog_proto_exo_outfit,0.45,0.7,0.2,0
actors\stalker_ecologist\stalker_ecologist_proto_with_m150,"ecolog_proto_exo_outfit,helm_m50",0.45,0.7,0.2,0
actors\stalker_ecologist\stalker_f_ecolog_sci_ps5_1,"hybrid_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_f_ecolog_sci_ps5_2,"hybrid_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_f_ecolog_sci_ps5_3,"hybrid_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_f_ecolog_sci_ps5_4,"hybrid_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_f_ecolog_sci_ps5_5,"hybrid_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_f_ecolog_sci_sunrise_1,"hybrid_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_f_ecolog_sci_sunrise_2,"hybrid_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_f_ecolog_sci_sunrise_3,"hybrid_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_f_ecolog_sci_sunrise_4,"hybrid_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_f_ecolog_sci_sunrise_5,"hybrid_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_f_ecolog_sci_sunrise_6,"hybrid_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_ecologist\stalker_neutral_ecolog_2,"ecolog_guard_outfit,helm_respirator",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_neutral_ecolog_2_gear,"ecolog_guard_outfit,helm_respirator",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_neutral_zarya_zo1_ecolog,"ecolog_guard_outfit,helm_respirator",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_neutral_zarya_zo1_ecolog_2,"ecolog_guard_outfit,helm_respirator",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_neutral_zarya_zo1_ecolog_3,"ecolog_guard_outfit,helm_respirator",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_neutral_zarya_zo1_ecolog_4,"ecolog_guard_outfit,helm_respirator",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_neutral_zarya_zo1_ecolog_5,"ecolog_guard_outfit,helm_respirator",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_neutral_zarya_zo1_ecolog_with_m50,"ecolog_guard_outfit,helm_m50",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_neutral_zarya_zo1_ecolog_with_m50_2,"ecolog_guard_outfit,helm_m50",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_neutral_zarya_zo1_ecolog_with_m50_3,"ecolog_guard_outfit,helm_m50",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_neutral_zarya_zo1_ecolog_with_m50_4,"ecolog_guard_outfit,helm_m50",0.45,0.8,0.15,0
actors\stalker_ecologist\stalker_neutral_zarya_zo1_ecolog_with_m50_5,"ecolog_guard_outfit,helm_m50",0.45,0.8,0.15,0
actors\stalker_freedom\1,,0.4,0.85,0.15,0
actors\stalker_freedom\1_01,,0.4,0.85,0.15,0
actors\stalker_freedom\1_02,,0.4,0.85,0.15,0
actors\stalker_freedom\1_03,,0.4,0.85,0.15,0
actors\stalker_freedom\1_1,,0.5,0.8,0.15,0
actors\stalker_freedom\1_11,,0.5,0.8,0.15,0
actors\stalker_freedom\1_12,,0.5,0.8,0.15,0
actors\stalker_freedom\1_13,,0.5,0.8,0.15,0
actors\stalker_freedom\1_14,,0.5,0.8,0.15,0
actors\stalker_freedom\1_2,,0.5,0.8,0.15,0
actors\stalker_freedom\1_3,,0.5,0.8,0.15,0
actors\stalker_freedom\1_31,,0.5,0.8,0.15,0
actors\stalker_freedom\1_32,,0.5,0.8,0.15,0
actors\stalker_freedom\1_33,,0.5,0.8,0.15,0
actors\stalker_freedom\1_34,,0.5,0.8,0.15,0
actors\stalker_freedom\1_35,,0.5,0.8,0.15,0
actors\stalker_freedom\1_36,,0.5,0.8,0.15,0
actors\stalker_freedom\1_37,,0.5,0.8,0.15,0
actors\stalker_freedom\1_antigas,,0.4,0.85,0.15,0
actors\stalker_freedom\1_antigas_1,,0.4,0.85,0.15,0
actors\stalker_freedom\1_antigas_wide,,0.4,0.85,0.15,0
actors\stalker_freedom\2,,0.45,0.8,0.15,0
actors\stalker_freedom\2_1,,0.45,0.8,0.15,0
actors\stalker_freedom\2_11,,0.45,0.8,0.15,0
actors\stalker_freedom\2_12,,0.45,0.8,0.15,0
actors\stalker_freedom\2_13,,0.45,0.8,0.15,0
actors\stalker_freedom\2_14,,0.45,0.8,0.15,0
actors\stalker_freedom\2_15,,0.45,0.8,0.15,0
actors\stalker_freedom\2_2,,0.45,0.8,0.15,0
actors\stalker_freedom\2_3,,0.45,0.8,0.15,0
actors\stalker_freedom\2_31,,0.45,0.8,0.15,0
actors\stalker_freedom\2_32,,0.45,0.8,0.15,0
actors\stalker_freedom\2_33,,0.45,0.8,0.15,0
actors\stalker_freedom\2_34,,0.45,0.8,0.15,0
actors\stalker_freedom\2_4,,0.45,0.8,0.15,0
actors\stalker_freedom\2_5,,0.45,0.8,0.15,0
actors\stalker_freedom\2_51,,0.45,0.8,0.15,0
actors\stalker_freedom\2_antigas_wide,,0.45,0.8,0.15,0
actors\stalker_freedom\3,,0.3,0.75,0.2,0.2
actors\stalker_freedom\3_1,,0.3,0.75,0.2,0.2
actors\stalker_freedom\3_2,,0.3,0.75,0.2,0.2
actors\stalker_freedom\3_3,,0.3,0.75,0.2,0.2
actors\stalker_freedom\3_4,,0.3,0.75,0.2,0.2
actors\stalker_freedom\3_5,,0.3,0.75,0.2,0.2
actors\stalker_freedom\3_antigas,,0.3,0.75,0.2,0
actors\stalker_freedom\3_antigas_1,,0.3,0.75,0.2,0
actors\stalker_freedom\3_antigas_helm,,0.3,0.75,0.2,0.3
actors\stalker_freedom\3_antigas_helm_1,,0.3,0.75,0.2,0.3
actors\stalker_freedom\3_ballon,,0.3,0.75,0.2,0.3
actors\stalker_freedom\3_ballon_1,,0.3,0.75,0.2,0.3
actors\stalker_freedom\3_ballon_1_1,,0.3,0.75,0.2,0.3
actors\stalker_freedom\3_ballon_2,,0.3,0.75,0.2,0.2
actors\stalker_freedom\3_ballon_2_1,,0.3,0.75,0.2,0.2
actors\stalker_freedom\3_hood,,0.3,0.75,0.2,0
actors\stalker_freedom\3_hood_1,,0.3,0.75,0.2,0
actors\stalker_freedom\3_hood_10,,0.3,0.75,0.2,0
actors\stalker_freedom\3_hood_2,,0.3,0.75,0.2,0
actors\stalker_freedom\3_hood_3,,0.3,0.75,0.2,0
actors\stalker_freedom\3_hood_4,,0.3,0.75,0.2,0
actors\stalker_freedom\3_hood_5,,0.3,0.75,0.2,0
actors\stalker_freedom\3_hood_6,,0.3,0.75,0.2,0
actors\stalker_freedom\3_hood_7,,0.3,0.75,0.2,0
actors\stalker_freedom\3_hood_8,,0.3,0.75,0.2,0
actors\stalker_freedom\3_hood_9,,0.3,0.75,0.2,0
actors\stalker_freedom\3_without_hood,,0.3,0.75,0.2,0
actors\stalker_freedom\3_without_hood_1,,0.3,0.75,0.2,0
actors\stalker_freedom\4,,0.15,0.7,0.55,0.3
actors\stalker_freedom\6,,0.3,0.7,0.3,0.3
actors\stalker_freedom\6_1,,0.3,0.7,0.3,0.3
actors\stalker_freedom\6_2,,0.3,0.7,0.3,0.3
actors\stalker_freedom\6_3,,0.3,0.7,0.3,0.3
actors\stalker_freedom\6_4,,0.3,0.75,0.25,0.2
actors\stalker_freedom\6_5,,0.3,0.75,0.25,0.2
actors\stalker_freedom\6_6,,0.3,0.75,0.25,0.2
actors\stalker_freedom\6_last,,0.3,0.75,0.25,0.2
actors\stalker_freedom\6_last_1,,0.3,0.75,0.25,0.2
actors\stalker_freedom\6_last_2,,0.3,0.75,0.25,0.2
actors\stalker_freedom\dark_free,"novice_outfit_camo,helm_respirator",0.45,0.8,0.15,0
actors\stalker_freedom\dark_free_gp5,"novice_outfit_camo,helm_respirator_gp5",0.45,0.8,0.15,0
actors\stalker_freedom\dark_free_with_drip,"novice_outfit_camo,helm_rp_bala",0.45,0.8,0.15,0
actors\stalker_freedom\light_free,"light_freedom_outfit,helm_metro",0.3,0.75,0.25,0.3
actors\stalker_freedom\light_free_commando,"light_freedom_outfit,helm_ach7ex",0.3,0.75,0.25,0.3
actors\stalker_freedom\light_free_custom,"light_freedom_outfit,helm_metro",0.3,0.75,0.25,0.3
actors\stalker_freedom\light_free_custom_2,"light_freedom_outfit,helm_metro",0.3,0.75,0.25,0.3
actors\stalker_freedom\light_free_custom_backpack,"light_freedom_outfit,helm_metro",0.3,0.75,0.25,0.3
actors\stalker_freedom\light_free_ppm,"light_freedom_outfit,helm_ppm88",0.3,0.75,0.25,0
actors\stalker_freedom\light_freedom_with_berillhead,"light_freedom_outfit,helm_tactic",0.3,0.75,0.25,0.3
actors\stalker_freedom\n,"monolith_scientific_outfit,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_freedom\n0,"monolith_scientific_outfit,helm_protective",0.4,0.8,0.15,0.15
actors\stalker_freedom\n0_1,,0.5,0.8,0.15,0
actors\stalker_freedom\n_1,,0.45,0.8,0.15,0
actors\stalker_freedom\stalker_f_freedom_sci_ps5_1,"svoboda_scientific_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_f_freedom_sci_sunrise_1,"svoboda_scientific_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_f_freedom_sci_sunrise_2,"svoboda_scientific_outfit,helm_protective",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_free0a,"svoboda_scientific_outfit,helm_protective",0.45,0.7,0.2,0.15
actors\stalker_freedom\stalker_free_0,"svoboda_scientific_outfit,helm_protective",0.45,0.7,0.2,0.15
actors\stalker_freedom\stalker_freedom1a,"svoboda_light_outfit,helm_resp",0.4,0.85,0.075,0
actors\stalker_freedom\stalker_freedom1a_ppm,"svoboda_light_outfit,helm_ppm88",0.4,0.85,0.15,0
actors\stalker_freedom\stalker_freedom1a_with_m50,"svoboda_light_outfit,helm_m50",0.4,0.85,0.15,0
actors\stalker_freedom\stalker_freedom1a_with_m50_2,"svoboda_light_outfit,helm_m50",0.4,0.85,0.15,0
actors\stalker_freedom\stalker_freedom1a_with_m50_3,"svoboda_light_outfit,helm_m50",0.4,0.85,0.15,0
actors\stalker_freedom\stalker_freedom2a,"svoboda_heavy_outfit_2,helm_respirator",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom2a_berill,"svoboda_heavy_outfit_2,helm_ach7",0.45,0.8,0.15,0.2
actors\stalker_freedom\stalker_freedom2a_berill_2,"svoboda_heavy_outfit_2,helm_ach7",0.45,0.8,0.15,0.2
actors\stalker_freedom\stalker_freedom2a_berill_3,"svoboda_heavy_outfit_2,helm_ach7",0.45,0.8,0.15,0.2
actors\stalker_freedom\stalker_freedom2a_custom,"svoboda_heavy_outfit_2,helm_m50",0.45,0.8,0.15,0
actors\stalker_freedom\stalker_freedom2a_custom_2,"svoboda_heavy_outfit_2,helm_m50",0.45,0.8,0.15,0
actors\stalker_freedom\stalker_freedom2a_mas2,"svoboda_heavy_outfit_2,helm_cloth_mask",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom2a_mas2_backpack,"svoboda_heavy_outfit_2,helm_rp_bala",0.45,0.8,0.15,0
actors\stalker_freedom\stalker_freedom2a_mas2_backpack_shades,"svoboda_heavy_outfit_2,helm_rp_bala",0.45,0.8,0.15,0
actors\stalker_freedom\stalker_freedom2a_mas3,"svoboda_heavy_outfit_2,helm_cloth_mask",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom2a_mas3_with_glasses,"svoboda_heavy_outfit_2,helm_rp_bala",0.45,0.8,0.15,0
actors\stalker_freedom\stalker_freedom2a_mas3_with_glasses_2,"svoboda_heavy_outfit_2,helm_rp_bala",0.45,0.8,0.15,0
actors\stalker_freedom\stalker_freedom2a_mas4,"svoboda_heavy_outfit_2,helm_rp_bala",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom2a_mas4_shades,"svoboda_heavy_outfit_2,helm_rp_bala",0.45,0.8,0.15,0
actors\stalker_freedom\stalker_freedom2a_mask,"svoboda_heavy_outfit_2,helm_cloth_mask",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom2a_old,"svoboda_heavy_outfit_2,helm_respirator_old",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom2b,"svoboda_light_outfit,helm_respirator",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom2b_mas2,"svoboda_light_outfit,helm_cloth_mask",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom2b_mas2_ppm,"svoboda_heavy_outfit_2,helm_ppm88",0.4,0.85,0.15,0
actors\stalker_freedom\stalker_freedom2b_mas3,,0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom2b_mas3_goggles,svoboda_heavy_outfit_2,0.5,0.8,0.15,0
actors\stalker_freedom\stalker_freedom2b_mas3_googles,svoboda_heavy_outfit_2,0.5,0.8,0.15,0
actors\stalker_freedom\stalker_freedom2b_mas4,"svoboda_light_outfit,helm_rp_bala",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom2b_mask,"svoboda_light_outfit,helm_cloth_mask",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom2b_old,"svoboda_light_outfit,helm_respirator_old",0.5,0.8,0.1,0
actors\stalker_freedom\stalker_freedom3a,"svoboda_heavy_outfit,helm_tactic",0.3,0.75,0.2,0.2
actors\stalker_freedom\stalker_freedom3a_commando,"svoboda_heavy_outfit,helm_ach7",0.3,0.75,0.2,0
actors\stalker_freedom\stalker_freedom3a_commando_2,"svoboda_light_outfit,helm_ach7",0.3,0.75,0.2,0
actors\stalker_freedom\stalker_freedom3a_commando_3,"svoboda_light_outfit,helm_ach7",0.3,0.75,0.2,0
actors\stalker_freedom\stalker_freedom3a_commando_4,"svoboda_light_outfit,helm_ach7",0.3,0.75,0.2,0
actors\stalker_freedom\stalker_freedom3a_commando_5,"svoboda_light_outfit,helm_ach7",0.3,0.75,0.2,0
actors\stalker_freedom\stalker_freedom3a_commando_6,"svoboda_light_outfit,helm_ach7",0.3,0.75,0.2,0
actors\stalker_freedom\stalker_freedom3a_commando_7,"svoboda_light_outfit,helm_ach7",0.3,0.75,0.2,0
actors\stalker_freedom\stalker_freedom3a_tactic_custom,"svoboda_heavy_outfit,helm_tactic",0.3,0.75,0.2,0.2
actors\stalker_freedom\stalker_freedom3a_tactic_custom_2,"svoboda_heavy_outfit,helm_tactic",0.3,0.75,0.2,0.3
actors\stalker_freedom\stalker_freedom3a_tactic_custom_3,"svoboda_heavy_outfit,helm_tactic",0.3,0.75,0.2,0.2
actors\stalker_freedom\stalker_freedom3a_tactic_ppm,"svoboda_heavy_outfit,helm_ppm88",0.3,0.75,0.2,0.3
actors\stalker_freedom\stalker_freedom3a_with_sphere12,"svoboda_heavy_outfit,helm_battle",0.3,0.75,0.2,0.3
actors\stalker_freedom\stalker_freedom3c,"svoboda_heavy_outfit,helm_ach7",0.3,0.75,0.2,0.2
actors\stalker_freedom\stalker_freedom4a,"svoboda_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_freedom\stalker_freedom4a_oldsun,"svoboda_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_freedom\stalker_freedom4a_oldsun_2,"svoboda_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_freedom\stalker_freedom4a_ppm,"svoboda_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_freedom\stalker_freedom4a_with_m150,"svoboda_exo_outfit,helm_m50",0.15,0.7,0.55,0.3
actors\stalker_freedom\stalker_freedom4b,"svoboda_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_freedom\stalker_freedom4b_commando,"svoboda_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_freedom\stalker_freedom4b_commando_2,"svoboda_exo_outfit,helm_exo",0.15,0.7,0.55,0.3
actors\stalker_freedom\stalker_freedom4b_with_goggles,"svoboda_exo_outfit,helm_exo",0.15,0.7,0.55,0.15
actors\stalker_freedom\stalker_freedom4b_with_goggles_2,"svoboda_exo_outfit,helm_exo",0.15,0.7,0.55,0.15
actors\stalker_freedom\stalker_freedom4b_with_m150,"svoboda_exo_outfit,helm_m50",0.15,0.7,0.55,0.3
