~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_akms,st_wpn_akms,st_wpn_akms_descr,3.30,31780,D,N,70%,72%,42,600,30,900,600,91%,43,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_ash12,st_wpn_ash12,st_wpn_ash12_descr,4.50,87100,D,N,77%,66%,92,500,10,250,454,80%,30,ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo_12.7x55_ap;ammo_12.7x55_ap;ammo_12.7x55_ap,,,,,0.45,0.8,1.03
wpn_howa20,st_wpn_howa20,st_wpn_howa20_descr,4.30,57680,C,N,83%,80%,31,900,30,1000,985,91%,88,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.53
wpn_9a91,st_wpn_9a91,st_wpn_9a91_descr,1.80,40860,D,N,82%,82%,53,700,20,600,350,90%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_ak74_n,st_wpn_ak74_n,st_wpn_ak74_n_descr,3.30,26950,C,N,76%,76%,36,650,30,1000,923,91%,53,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_famas3,st_wpn_famas3,st_wpn_famas3_descr,3.80,44900,C,N,79%,78%,30,950,30,1000,1030,90%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_aek_camo,st_wpn_aek971_camo,st_wpn_aek971_camo_descr,3.40,45760,C,N,86%,77%,36,850,30,1000,760,92%,98,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.5
wpn_ak74_modern,st_wpn_ak74_modern,st_wpn_ak74_descr,3.30,29560,C,N,77%,76%,36,680,30,1000,931,93%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_ak105_bas,st_wpn_ak105_bas,st_wpn_ak105_bas_descr,3.20,24480,C,N,66%,80%,35,650,30,1000,871,91%,66,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.49
wpn_ppsh41_woodnew,st_wpn_ppsh41_new,st_wpn_ppsh41_descr,3.65,21180,A,N,61%,82%,19,900,71,500,630,93%,75,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,,,0.17,0.28,,0.46
wpn_vintorez_alt,st_wpn_vintorez_alt,st_wpn_vintorez_descr,2.59,46860,D,N,87%,82%,53,750,10,600,350,83%,0,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_l85,st_wpn_l85,st_wpn_l85_descr,3.88,33860,C,N,85%,79%,30,680,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_aug_a3_bas,st_wpn_aug_a3_bas,st_wpn_aug_a3_bas_descr,3.90,35600,C,N,85%,88%,30,680,30,1000,1041,90%,69,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_vintorez,st_wpn_vintorez,st_wpn_vintorez_descr,2.59,46580,D,N,86%,82%,53,800,10,600,350,85%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_val_tac,st_wpn_val_tac,st_wpn_val_tac_descr,2.50,68860,D,N,79%,82%,53,900,20,600,350,89%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_pkm,st_wpn_rp,st_wpn_rp_descr,7.50,66850,D,N,77%,70%,69,650,100,1000,866,91%,45,ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap,,,,,0.37,0.65,0.77
wpn_aks,st_wpn_aks,st_wpn_aks_descr,3.20,24650,D,N,67%,72%,42,600,30,900,600,92%,45,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_akm_alfa,st_wpn_akm_alfa,st_wpn_akm_alfa_descr,3.50,33930,C,N,78%,76%,41,600,30,1000,688,91%,50,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.4,0.61,0.57
wpn_val,st_wpn_val,st_wpn_val_descr,2.50,50860,D,N,77%,82%,53,900,20,600,350,90%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_aug,st_wpn_aug,st_wpn_aug_descr,3.30,24580,C,N,79%,88%,30,680,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_ak74_old,st_wpn_ak74_old,st_wpn_ak74_old_descr,3.30,23580,C,N,75%,76%,36,650,30,1000,918,91%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_sig552_tac_siber,st_wpn_sig552_tac_siber,st_wpn_sig552_tac_siber_descr,3.70,65780,C,N,83%,75%,30,700,30,1000,1019,90%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_sig552_isg_siber,st_wpn_sig552_isg_siber,st_wpn_sig552_isg_siber_descr,3.60,58400,C,N,83%,75%,30,700,30,1000,1019,90%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_ak74u_custom,st_wpn_ak74u_custom,st_wpn_ak74u_descr,2.48,23880,C,N,66%,83%,35,715,30,900,789,90%,52,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.485
wpn_pkp,st_wpn_pkp,st_wpn_pkp_descr,8.20,74880,D,N,77%,70%,69,650,100,1000,866,91%,45,ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap,,,,,0.37,0.65,0.77
wpn_hk416,st_wpn_hk416,st_wpn_hk416_descr,3.74,41580,C,N,83%,80%,29,850,30,1000,985,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.49
wpn_ak74_pmc,st_wpn_ak74_pmc,st_wpn_ak74_pmc_descr,3.40,48880,C,N,79%,76%,35,650,45,1000,939,91%,61,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.49
wpn_scar_siber_black,st_wpn_scar_siber_black,st_wpn_scar_siber_black_descr,3.60,68880,D,N,87%,72%,50,650,20,1000,842,90%,35,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_l85_alt,st_wpn_l85_alt,st_wpn_l85_descr,3.88,35680,C,N,86%,79%,30,700,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_galil_modern,st_wpn_galil_modern,st_wpn_galil_descr,3.95,37680,D,N,87%,70%,50,645,25,1000,876,92%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,0.3,0.61,0.76
wpn_sig550_camo,st_wpn_sig550_camo,st_wpn_sig550_descr,4.10,50860,C,N,86%,77%,30,755,30,1000,1019,90%,54,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_sig550,st_wpn_sig550,st_wpn_sig550_descr,4.10,43580,C,N,83%,75%,30,700,30,1000,1019,90%,54,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_shak12,st_wpn_shak12,st_wpn_shak12_descr,4.50,114000,D,N,80%,78%,92,600,20,250,454,75%,31,ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo_12.7x55_ap;ammo_12.7x55_ap;ammo_12.7x55_ap,,,,,0.45,0.8,1.03
wpn_aks74_new,st_wpn_aks74_new,st_wpn_aks74_descr,3.20,26880,C,N,77%,77%,36,655,30,1000,923,92%,46,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_ak12_mono_com,st_wpn_ak12_mono_com,st_wpn_ak12_mono_com_descr,2.80,61200,C,N,79%,76%,35,650,45,1000,939,91%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.49
wpn_ak74u_m1_isg,st_wpn_ak74u_m1_isg,st_wpn_ak74u_m1_isg_descr,2.60,46880,C,N,79%,76%,37,850,30,1000,939,91%,61,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.51
wpn_ak74_rpk,st_wpn_ak74_eot,st_wpn_ak74_eot_descr,3.62,37680,C,N,74%,76%,36,683,45,1000,946,93%,61,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_l85_m1,st_wpn_l85_m1,st_wpn_l85_m1_descr,3.50,22810,C,N,85%,79%,30,680,30,1000,1086,91%,42,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_scar_siber_m1,st_wpn_scar_siber_m1,st_wpn_scar_siber_m1_descr,3.60,54880,D,N,87%,72%,50,650,20,1000,842,90%,37,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_galil,st_wpn_galil,st_wpn_galil_descr,3.95,32580,D,N,86%,70%,50,630,25,1000,876,90%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,0.3,0.61,0.76
wpn_scar_siber,st_wpn_scar_siber,st_wpn_scar_siber_descr,3.60,65880,D,N,87%,72%,50,650,20,1000,842,90%,35,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_scar_l_tac,st_wpn_scar_l_tac,st_wpn_scar_l_tac_descr,3.30,41230,C,N,83%,80%,29,650,30,600,985,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.499
wpn_scar_custom,st_wpn_scar_custom,st_wpn_scar_descr,3.60,63580,D,N,91%,72%,50,675,20,1000,842,89%,36,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_ak74m_beard,st_wpn_ak74m_beard,st_wpn_ak74m_beard_descr,3,38980,C,N,78%,76%,36,600,45,1000,923,91%,58,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.5
wpn_akms_alt,st_wpn_akms_alt,st_wpn_akms_descr,3.30,33540,D,N,69%,72%,42,620,30,900,600,91%,43,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.58
wpn_scar_siber_m2_custom,st_wpn_scar_siber_m2_custom,st_wpn_scar_siber_m2_custom_descr,4.70,500000,D,N,87%,72%,50,650,20,1000,842,90%,39,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,0.75
wpn_rpk74,st_wpn_rpk74,st_wpn_rpk74_descr,4.80,38980,C,N,81%,73%,37,650,45,1000,955,91%,51,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.51
wpn_fn2000,st_wpn_fn2000,st_wpn_fn2000_descr,3.80,45880,C,N,84%,80%,30,850,30,1000,1030,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_m4a1,st_wpn_m4a1,st_wpn_m4a1_descr,2.52,35560,C,N,79%,80%,29,770,30,1000,985,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.49
wpn_l85_m3,st_wpn_l85_m3,st_wpn_l85_m3_descr,3.80,37330,C,N,85%,79%,30,680,30,1000,1086,91%,62,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_rpd,st_wpn_rpd,st_wpn_rpd_descr,7.40,44980,D,N,74%,72%,43,600,100,900,613,91%,51,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,,0.4,0.61,0.59
wpn_fn2000_custom,st_wpn_fn2000_custom,st_wpn_fn2000_descr,3.80,49350,C,N,85%,80%,30,875,30,1000,1030,93%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_ppsh41_rednew,st_wpn_ppsh41_camo,st_wpn_ppsh41_descr,3.60,20580,A,N,64%,82%,19,880,71,500,630,93%,75,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,,,0.17,0.28,,0.46
wpn_ak5c_isg,st_wpn_ak5c_isg,st_wpn_ak5c_isg_descr,4,62560,C,N,81%,80%,30,800,30,800,1007,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_ppsh41,st_wpn_ppsh41,st_wpn_ppsh41_descr,3.64,18840,A,N,56%,82%,19,880,71,500,630,93%,75,ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-p;ammo-7.62x25-ps;ammo-7.62x25-ps;ammo-7.62x25-ps,,,,0.17,0.28,,0.46
wpn_l85_m2,st_wpn_l85_m2,st_wpn_l85_m2_descr,3.50,31860,C,N,85%,79%,30,680,30,1000,1086,91%,44,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_ak74u,st_wpn_ak74u,st_wpn_ak74u_descr,2.48,20870,C,N,62%,83%,35,700,30,900,771,90%,50,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.485
wpn_aug_merc,st_wpn_aug_merc,st_wpn_aug_descr,3.30,34180,C,N,84%,89%,30,710,30,1000,1041,92%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_l85a2_custom,st_wpn_l85a2_custom,st_wpn_l85a2_descr,4.13,41560,C,N,90%,82%,30,620,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_l85a2,st_wpn_l85a2,st_wpn_l85a2_descr,4.13,35860,C,N,87%,79%,30,635,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_pkp_tac_siber,st_wpn_pkp_tac_siber,st_wpn_pkp_tac_siber_descr,7,93850,D,N,77%,70%,69,650,100,1000,866,91%,76,ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap,,,,,0.37,0.65,0.77
wpn_m16,st_wpn_m16,st_wpn_m16_descr,3.09,35690,C,N,86%,71%,30,670,30,1000,1019,91%,61,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
