~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,ui_st_rank,st_data_export_jump_height,st_data_export_is_junk,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,st_prop_restore_health,ui_inv_satiety,st_prop_restore_bleeding,st_data_export_restore_radiation,ui_inv_outfit_power_restore,ui_inv_outfit_additional_weight
af_microb,st_af_microb_name,st_af_microb_descr,0.67,60208,3,3,0.5,N,8.92%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,22.09,65%,0
af_midi,st_af_midi_name,st_af_midi_descr,1.59,20400,3,0,0.2,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.75246841,0,-12.85557,0,0%,0
af_mincer_me,af-mincer-meat,enc_zone_artifact_af-mincer-meat,0.39,42122,2,2,0.9,N,0%,0%,0%,0%,0%,0%,8.65%,0%,0%,0,-2007.3529411765,0,11.75,0%,0
af_mincer_meat,st_af_mincer_meat_name,st_af_mincer_meat_descr,0.76,31960,1,1,0.01,N,0%,0%,0%,-6.82%,40%,0%,0%,0%,0%,0,0,0,6.11,0%,0
af_mincer_meat2,st_af_mincer_meat2_name,st_af_mincer_meat2_descr,0.53,29796,1,1,0.01,N,0%,0%,0%,0%,30%,5.69%,0%,0%,-4.10%,0,0,0,6.11,0%,0
af_misery_bread,st_af_misery_bread_name,st_af_misery_bread_descr,1.66,9900,1,0,0.5,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,6372.5490196078,0,6.11,0%,0
af_moh,st_af_moh_name,st_af_moh_descr,3.39,6300,1,0,0.05,Y,0%,0%,0%,0%,0%,7.58%,2.88%,0%,0%,0,0,0,2.35,0%,0
af_monolith,st_af_monolith_name,st_af_monolith_descr,1.42,115092,4,3,0.5,N,0%,-4.38%,0%,53.57%,55%,0%,10.57%,0%,-8.53%,0,0,0,0,0%,0
af_morf,st_af_morf_name,st_af_morf_descr,1.56,54046,3,3,0.5,N,0%,0%,0%,-17.04%,0%,0%,0%,0%,0%,0,0,0,22.09,0%,0
af_nigh_sta,af-night-star,enc_zone_artifact_af-night-star,3.03,19500,3,0,0,Y,0%,0%,0%,0%,0%,0%,0%,-5.78%,0%,0,0,-10.87779,0,0%,8400
af_night_star,st_af_night_star_name,st_af_night_star_descr,0.78,33200,1,1,0.7,N,0%,0%,0%,0%,0%,0%,0%,-3.37%,0%,0,0,0,6.11,0%,8800
af_night_star2,st_af_night_star2_name,st_af_night_star2_descr,1.77,20228,1,1,0.5,N,0%,-1.35%,0%,0%,0%,0%,0%,0%,0%,0,0,0,6.11,0%,0
af_oasis_heart,st_af_oasis_heart_name,st_af_oasis_heart_descr,1.64,87535,4,0,0.2,N,0%,-4.38%,0%,0%,0%,0%,0%,0%,-8.53%,19.26727887,9176.4705882353,0,22.09,0%,0
af_oasis_heart2,st_oasis_heart2,st_oasis_heart2_descr,1.38,48188,3,3,0.2,N,0%,-4.05%,0%,0%,0%,0%,8.65%,0%,0%,14.67983152,0,0,22.09,0%,0
af_oblivion,st_af_oblivion_name,st_af_oblivion_descr,0.45,98725,4,3,0.1,N,0%,0%,0%,0%,0%,-7.30%,0%,0%,0%,0,0,79.1112,22.09,75%,0
af_oblivion3,st_af_oblivion3_name,st_af_oblivion3_descr,1.12,24115,1,1,0.1,N,0%,3.85%,-1.20%,19.48%,0%,0%,0%,0%,0%,0,0,0,6.11,0%,0
af_oko,st_af_oko_name,st_af_oko_descr,0.75,86704,4,3,0.9,N,10.90%,0%,0%,-19.77%,52%,0%,-3.36%,24.07%,0%,0,0,0,22.09,0%,0
af_oreh,st_af_oreh_name,st_af_oreh_descr,0.54,27017,1,1,0.1,N,0%,0%,5.98%,0%,0%,0%,0%,0%,0%,0,-1115.1960784314,0,6.11,0%,0
af_padshi_angel,st_af_padshi_angel_name,st_af_padshi_angel_descr,1.82,39695,2,2,0.5,N,0%,0%,0%,-11.93%,0%,12.56%,0%,0%,0%,0,5416.6666666667,0,11.75,0%,0
af_part_monolit,af_part_monolit_name,af_part_monolit_descr,1.53,112728,4,3,0.4,N,0%,0%,0%,-18.75%,0%,0%,0%,0%,24.38%,18.3497894,0,0,22.09,-26%,0
af_peas,st_af_peas_name,st_af_peas_descr,3.55,8400,1,0,0.1,Y,0%,0%,0%,0%,20%,3.79%,0%,0%,0%,0,0,-4.94445,0,0%,0
af_pendulum,st_af_pendulum_name,st_af_pendulum_descr,1.36,21618,1,1,0.5,N,0%,0%,0%,-6.82%,0%,0%,0%,0%,0%,0,0,0,6.11,0%,0
af_pero,st_af_pero_name,st_af_pero_descr,1.78,99104,4,3,0.5,N,0%,0%,0%,53.57%,0%,0%,0%,0%,0%,18.3497894,-2944.1176470588,0,22.09,0%,0
af_pin,st_af_pin_name,st_af_pin_descr,1.43,23857,1,1,0,N,0%,0%,5.98%,-6.82%,0%,0%,0%,0%,0%,0,0,0,6.11,0%,0
af_poipruz,st_af_poipruz_name,st_af_poipruz_descr,0.79,102225,4,3,0.5,N,10.90%,0%,0%,0%,0%,0%,-3.70%,23.10%,0%,0,0,0,22.09,0%,13300
af_propeller,st_af_propeller_name,st_af_propeller_descr,2.16,53249,3,3,0.5,N,-3.47%,0%,0%,0%,0%,0%,0%,19.25%,0%,0,0,0,22.09,0%,0
af_prujina,st_af_prujina_name,st_af_prujina_descr,0.65,60585,3,3,0.2,N,0%,0%,0%,0%,0%,-18.96%,0%,19.25%,0%,0,0,0,22.09,0%,0
af_pudd_1,af_pudd_1_name,af_pudd_1_descr,1.59,38463,2,2,0.4,N,5.95%,6.74%,0%,0%,0%,0%,0%,0%,0%,0,0,0,11.75,0%,0
af_pudd_2,af_pudd_2_name,af_pudd_2_descr,1.54,39636,2,2,0.7,N,5.95%,0%,0%,0%,0%,10.90%,0%,0%,0%,0,0,0,11.75,0%,0
af_pudd_3,af_pudd_3_name,af_pudd_3_descr,1.64,37224,2,2,1,N,5.95%,0%,0%,0%,0%,0%,4.80%,0%,0%,0,0,0,11.75,0%,0
af_pudd_4,af_pudd_4_name,af_pudd_4_descr,1.44,42555,2,2,2,N,5.95%,0%,0%,0%,0%,0%,0%,0%,0%,0,5098.0392156863,0,11.75,0%,0
af_pulsar,st_af_pulsar_name,st_af_pulsar_descr,1.27,45731,2,2,0.3,N,0%,0%,0%,0%,0%,0%,5.76%,0%,16.58%,0,0,-15.5750175,11.75,0%,0
af_quest_b14_twisted2,st_af_quest_b14_twisted2,st_af_quest_b14_twisted2_descr,2.23,100514,4,3,0.2,N,10.90%,12.52%,11.11%,-18.75%,0%,-7.30%,0%,0%,0%,0,0,0,22.09,0%,0
af_raibloko,st_af_raibloko_name,st_af_raibloko_descr,0.81,20620,1,1,0.9,N,0%,3.85%,0%,0%,0%,0%,2.88%,0%,0%,0,-1115.1960784314,0,6.11,0%,0
af_raibloko3,st_af_raibloko3_name,st_af_raibloko3_descr,3.70,12100,2,0,0.2,Y,0%,0%,1.71%,0%,13%,0%,0%,0%,0%,0,0,0,0,0%,0
af_repei,st_af_repei_name,st_af_repei_descr,1.17,10900,2,0,0.05,Y,0%,0%,0%,0%,0%,3.13%,0%,0%,0%,0,0,0,0,0%,1810
af_ring,st_af_ring_name,st_af_ring_descr,0.56,46543,2,2,0.1,N,8.92%,0%,0%,0%,0%,0%,-2.02%,0%,0%,0,0,0,11.75,0%,0
af_rusty_sea_urchin,af_rusty_sea_urchin,st_af_rusty_sea_urchin_descr,0.65,52174,3,3,0.5,N,0%,0%,-3.59%,0%,0%,0%,0%,25.03%,0%,0,0,0,22.09,0%,0
af_sandstone,st_af_sandstone_name,st_af_sandstone_descr,1.18,17800,3,0,0.05,Y,0%,0%,2.56%,0%,0%,0%,0%,0%,0%,0,0,9.8889,0,0%,0
af_seaej,st_af_seaej_name,st_af_seaej_descr,0.89,36576,2,2,0.01,N,0%,0%,-2.39%,0%,0%,0%,0%,0%,0%,0,7647.0588235294,0,11.75,0%,0
af_serofim,st_af_serofim_name,st_af_serofim_descr,2.69,17800,2,0,0.4,Y,0%,0%,0%,0%,0%,4.27%,-1.44%,0%,0%,0,0,0,0,0%,0
af_signet,st_af_signet_name,st_af_signet_descr,1.04,11800,2,0,0.05,Y,1.49%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
af_simbion,af_simbion_name,af_simbion_descr,0.65,20637,1,1,1,N,0%,0%,0%,0%,0%,0%,-3.10%,0%,0%,0,0,0,6.11,0%,0
af_skripka,st_af_skripka_name,st_af_skripka_descr,0.52,56093,3,3,0.3,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,7009.8039215686,0,22.09,0%,0
af_skull_miser,st_af_skull_miser_name,st_af_skull_miser_descr,0.57,7100,1,0,0.1,Y,0%,0%,0%,0%,11.89%,0%,0%,0%,0%,0,0,0,0,0%,0
af_slizen,st_af_slizen_name,st_af_slizen_descr,2.10,58287,3,3,0.2,N,0%,0%,-3.59%,0%,19.25%,0%,0%,0%,0%,0,0,0,22.09,0%,0
af_soul,st_af_soul_name,st_af_soul_descr,0.50,31401,1,1,0.01,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.1748947,0,0,6.11,0%,0
af_soul2,st_af_soul2_name,st_af_soul2_descr,1.36,24900,4,0,0.2,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.91748947,0,0,0,0%,0
af_spaika,st_af_spaika_name,st_af_spaika_descr,1.01,19200,3,0,0.05,Y,0%,3.85%,0%,0%,0%,-2.84%,0%,7.70%,0%,0,0,0,0,0%,0
af_spirit_1,af_spirit_1_name,af_spirit_1_descr,0.46,54247,3,3,0.1,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,7009.8039215686,0,22.09,0%,11500
af_spirit_2,af_spirit_2_name,af_spirit_2_descr,0.51,59883,3,3,0.4,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,7009.8039215686,0,22.09,0%,0
af_spirit_3,af_spirit_3_name,af_spirit_3_descr,0.56,56345,3,3,1,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,7009.8039215686,0,22.09,60%,0
af_spirit_4,af_spirit_4_name,af_spirit_4_descr,0.36,59715,3,3,2,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,15.138576255,7009.8039215686,0,22.09,0%,0
af_sponge,st_af_sponge_name,st_af_sponge_descr,1.44,38237,2,2,0.6,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,10.09238417,0,0,11.75,45%,0
af_star_phantom,st_af_star_phantom_name,st_af_star_phantom_descr,1.75,19000,3,0,0.2,Y,-1.98%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,13.84446,0,18%,0
af_sun,st_af_sun_name,st_af_sun_descr,2.75,20800,3,0,0.08,Y,0%,0%,-1.45%,0%,0%,0%,0%,0%,-3.90%,0,0,22.74447,0,0%,0
af_sverlo,st_af_sverlo_name,st_af_sverlo_descr,2.59,14800,2,0,0.01,Y,0%,0%,0%,0%,0%,0%,0.96%,5.29%,0%,0,0,0,0,0%,0
af_swivel,st_af_swivel_name,st_af_swivel_descr,2.06,35635,2,2,0.5,N,-2.43%,0%,0%,0%,0%,0%,0%,14.44%,0%,0,0,0,11.75,0%,0
af_tapeworm,st_af_tapeworm_name,st_af_tapeworm_descr,3.37,12700,2,0,0.4,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,-254.90196078431,0,0,0%,0
af_vaselisk,st_af_vaselisk_name,st_af_vaselisk_descr,0.50,64650,4,3,0.27,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
af_vedsleza,st_af_vedsleza_name,st_af_vedsleza_descr,2.07,37366,2,2,0.01,N,0%,7.22%,0%,31.65%,-15.75%,0%,0%,0%,0%,0,0,0,11.75,0%,0
af_vedsleza3,st_af_vedsleza3_name,st_af_vedsleza3_descr,2.64,7300,1,0,0.2,Y,0%,3.68%,0%,0%,-5.04%,0%,0%,0%,0%,0,0,0,0,0%,0
af_vereteno,st_af_vereteno_name,st_af_vereteno_descr,1.90,23203,1,1,0.5,N,0%,0%,-1.20%,0%,10.50%,0%,0%,0%,0%,0,0,0,6.11,0%,0
af_volchok,st_af_volchok_name,st_af_volchok_descr,0.40,56058,3,3,0.5,N,0%,0%,0%,-17.04%,0%,0%,0%,19.25%,0%,0,0,0,22.09,0%,0
af_vyve,af-vyvert,enc_zone_artifact_af-vyvert,0.73,25707,1,1,0.9,N,0%,0%,0%,0%,30%,0%,0%,0%,0%,0,0,0,6.11,0%,4500
af_vyvert,st_af_vyvert_name,st_af_vyvert_descr,0.65,43070,2,2,0.8,N,0%,0%,0%,0%,0%,0%,-2.02%,0%,0%,0,0,0,11.75,0%,9000
af_vyvert2,st_af_vyvert2_name,st_af_vyvert2_descr,0.55,20776,1,1,0.5,N,0%,0%,0%,0%,0%,0%,-3.10%,0%,0%,0,0,0,6.11,0%,6000
af_vyvert3,st_af_vyvert3_name,st_af_vyvert3_descr,1.96,58039,3,3,0.8,N,0%,0%,3.42%,0%,-21%,0%,0%,0%,21.45%,0,0,0,22.09,0%,0
af_vyvert_green,af_vyvert_green_name,af_vyvert_green_descr,0.75,53976,3,3,0.3,N,0%,0%,0%,0%,0%,0%,-3.03%,0%,0%,0,0,0,22.09,0%,13000
af_water_flower,af_water_flower_name,af_water_flower_descr,1.67,27411,1,1,0.2,N,0%,0%,0%,0%,0%,-1.99%,0%,0%,0%,0,3186.2745098039,19.7778,6.11,0%,0
af_water_flower1,af_water_flower1_name,af_water_flower1_descr,1.77,47702,2,2,0.2,N,0%,0%,0%,0%,0%,-4.31%,0%,0%,0%,0,5416.6666666667,42.027825,11.75,0%,0
af_water_flower2,af_water_flower2_name,af_water_flower2_descr,1.87,50405,3,3,0.2,N,0%,0%,0%,0%,0%,-6.64%,0%,0%,0%,0,7647.0588235294,64.27785,22.09,0%,0
af_wish,st_af_wish_name,st_af_wish_descr,0.75,28715,1,1,0,N,3.96%,0%,0%,0%,0%,5.69%,0%,0%,0%,0,0,-6.92223,6.11,0%,0
af_zelonka,st_af_zelonka_name,st_af_zelonka_descr,2,40018,2,2,0.1,N,0%,0%,-2.39%,0%,14.87%,0%,0%,0%,0%,0,0,0,11.75,0%,0
af_zhelch,st_af_zhelch_name,st_af_zhelch_descr,3.32,16700,2,0,0.15,Y,0%,0%,0%,0%,0%,6.16%,0%,0%,0%,0,0,-3.95556,0,0%,0
amk_ice_s,st_amk_ice_s_name,st_amk_ice_s_descr,1.94,18400,3,0,0.2,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0%,0
amk_snezhok,st_amk_snezhok_name,st_amk_snezhok_descr,1.08,89883,4,3,0.8,N,0%,-4.38%,11.54%,0%,0%,0%,0%,0%,0%,0,0,-25.9583625,22.09,75%,14900
amk_yoyo,st_amk_yoyo_name,st_amk_yoyo_descr,0.40,60292,3,3,0.5,N,0%,14.45%,0%,0%,0%,0%,0%,0%,0%,0,0,0,22.09,0%,0
jup_b1_half_artifact2,jup_b1_half_artifact2,jup_b1_half_artifact2_descr,0.66,58574,3,3,0.2,N,11.89%,0%,0%,0%,0%,0%,-3.03%,0%,0%,0,0,0,22.09,0%,0
