~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_galil_modern,st_wpn_galil_modern,st_wpn_galil_descr,3.95,43680,D,N,87%,70%,45,645,25,1000,876,87%,36,ammo-7.62x51_fmj;ammo-7.62x51_ap,ammo-7.62x39_fmj;ammo-7.62x39_ap,0.76,,,,34,,,62
wpn_groza,st_wpn_guns_groza,st_wpn_groza_guns_descr,4.00,36860,D,N,75%,82%,42,700,30,600,255,89%,59,ammo-9x39-pab9;ammo-9x39-ap,,0.62,,,,34,,,55
wpn_groza_nimble,st_wpn_groza_guns_nimble,st_wpn_groza_guns_nimble_descr,4.10,38580,D,N,79%,72%,37,750,60,900,756,91%,106,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.5,,,27,,,50,
wpn_hk416,st_wpn_hk416,st_wpn_hk416_descr,3.74,49580,C,N,83%,80%,34,850,30,1000,985,90%,79,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_hk417,st_wpn_hk417,st_wpn_hk417_descr,4.20,35000,C,N,86%,88%,45,600,20,500,857,80%,31,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.76,,,,34,,,62
wpn_howa20,st_wpn_howa20,st_wpn_howa20_descr,3.05,175680,D,N,83%,80%,35,900,30,1000,1019,90%,92,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_l85,st_wpn_l85,st_wpn_l85_descr,3.88,33860,C,N,85%,79%,35,680,30,1000,1041,83%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,0.51,,13,29,,,52,
wpn_l85_alt,st_wpn_l85_alt,st_wpn_l85_descr,3.88,35680,C,N,86%,79%,35,700,30,1000,1041,83%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,0.51,,13,29,,,52,
wpn_l85_custom,st_wpn_l85_custom,st_wpn_l85_descr,3.88,40580,C,N,89%,79%,35,693,30,1000,1148,83%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,0.51,,13,29,,,52,
wpn_l85_m1,st_wpn_l85_m1,st_wpn_l85_m1_descr,3.50,33860,C,N,85%,79%,35,680,30,1000,1086,90%,41,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_l85_m2,st_wpn_l85_m2,st_wpn_l85_m2_descr,3.50,53860,C,N,85%,79%,35,680,30,1000,1086,90%,43,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_l85_m3,st_wpn_l85_m3,st_wpn_l85_m3_descr,3.80,78330,C,N,85%,79%,35,680,30,1000,1086,90%,52,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_l85_modern,st_wpn_l85_modern,st_wpn_l85_descr,3.88,38980,C,N,87%,79%,35,730,30,1000,1041,85%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,0.51,,13,29,,,52,
wpn_l85a2,st_wpn_l85a2,st_wpn_l85a2_descr,4.13,35860,C,N,87%,79%,35,635,30,1000,1041,90%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,0.51,,13,29,,,52,
wpn_l85a2_alt,st_wpn_l85a2_alt,st_wpn_l85a2_descr,4.13,36980,C,N,88%,79%,35,665,30,1000,1041,90%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,0.51,,13,29,,,52,
wpn_l85a2_custom,st_wpn_l85a2_custom,st_wpn_l85a2_descr,4.13,41560,C,N,90%,82%,35,620,30,1000,1041,90%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,0.51,,13,29,,,52,
wpn_l85a2_modern,st_wpn_l85a2_modern,st_wpn_l85a2_descr,4.13,38580,C,N,89%,79%,35,650,30,1000,1041,90%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,0.51,,13,29,,,52,
wpn_lr300,st_wpn_lr300,st_wpn_lr300_descr,3.10,26480,C,N,78%,78%,33,930,30,1000,931,89%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.485,,13,29,,,52,
wpn_lr300_camo,st_wpn_lr300_camo,st_wpn_lr300_descr,3.10,36880,C,N,82%,79%,33,920,30,1000,931,89%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.485,,13,29,,,52,
wpn_lr300_custom,st_wpn_lr300_custom,st_wpn_lr300_descr,3.10,33550,C,N,81%,78%,33,945,30,1000,931,89%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.485,,13,29,,,52,
wpn_m16,st_wpn_m16,st_wpn_m16_descr,3.09,35690,C,N,86%,71%,35,670,30,1000,1019,83%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_m16a2,st_wpn_m16a2,st_wpn_m16a2_descr,3.51,35880,C,N,73%,71%,35,700,30,1000,1019,89%,88,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_m249,st_wpn_m249,st_wpn_m249_descr,7.68,56580,D,N,76%,75%,35,870,100,1000,1030,91%,85,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_m4,st_wpn_m4,st_wpn_m4_descr,3.02,35560,C,N,81%,80%,34,750,30,1000,985,89%,79,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_m4_butcher,st_wpn_m4_butcher,st_wpn_m4_butcher_descr,2.95,91640,C,N,83%,80%,34,950,60,800,851,89%,67,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.496,,13,29,,,52,
wpn_m4_ru556,st_wpn_m4_ru556,st_wpn_m4_ru556_descr,2.95,89580,C,N,83%,80%,35,700,20,1000,985,89%,92,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_m4_tac,st_wpn_m4_tac,st_wpn_m4_tac_descr,3.00,61230,C,N,83%,80%,34,770,40,1000,985,89%,67,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_m4a1,st_wpn_m4a1,st_wpn_m4a1_descr,2.52,29560,C,N,79%,80%,34,770,30,1000,985,89%,79,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_m4a1_camo,st_wpn_m4a1_camo,st_wpn_m4a1_descr,3.10,38680,C,N,82%,81%,34,830,30,1000,985,89%,79,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_m4a1_custom,st_wpn_m4a1_custom,st_wpn_m4a1_descr,3.10,35980,C,N,81%,80%,34,820,30,1000,985,89%,90,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_m4a1_freedom,st_wpn_m4a1_freedom,st_wpn_m4a1_descr,3.10,33350,C,N,79%,80%,34,850,30,1000,985,89%,79,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_m4a1_siber,st_wpn_m4a1_siber,st_wpn_m4a1_siber_descr,2.60,29230,C,N,83%,80%,34,770,30,1000,985,89%,53,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.498,,13,29,,,52,
wpn_m60,st_wpn_m60,st_wpn_m60_descr,10.50,67000,D,N,83%,88%,45,500,100,1000,895,91%,36,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.765,,,,34,,,62
wpn_mk14,st_wpn_mk14,st_wpn_mk14_descr,5.10,40000,D,N,86%,88%,45,725,20,1000,887,83%,34,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.76,,,,34,,,62
wpn_mk47,st_wpn_mk47,st_wpn_mk47_descr,3.26,45000,D,N,79%,80%,45,650,30,1000,739,91%,76,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_pkm,st_wpn_rp,st_wpn_rp_descr,7.50,53850,D,N,77%,70%,52,650,100,1000,866,91%,45,ammo-7.62x54-r;ammo-7.62x54-ap,,0.77,,,,37,,,80
wpn_pkm_siber,st_wpn_pkm_siber,st_wpn_pkm_siber_descr,7.50,53850,D,N,77%,70%,52,650,100,1000,866,91%,45,ammo-7.62x54-r,,0.77,,,,37,,,
wpn_pkm_zenit_siber,st_wpn_pkm_zenit_siber,st_wpn_pkm_zenit_siber_descr,8.40,83850,D,N,77%,70%,52,750,100,1000,866,91%,54,ammo-7.62x54-r;ammo-7.62x54-ap,,0.77,,,,37,,,80
wpn_pkm_zulus,st_wpn_pkm_zulus,st_wpn_pkm_zulus_descr,7.60,58960,D,N,77%,70%,52,680,100,1000,866,91%,47,ammo-7.62x54-r;ammo-7.62x54-ap,,0.77,,,,37,,,80
wpn_pkp,st_wpn_pkp,st_wpn_pkp_descr,8.20,61880,D,N,77%,70%,52,650,100,1000,866,91%,54,ammo-7.62x54-r;ammo-7.62x54-ap,,0.77,,,,37,,,80
wpn_pkp_siber,st_wpn_pkp_siber,st_wpn_pkp_siber_descr,8.70,63850,D,N,77%,70%,52,650,100,1000,866,91%,54,ammo-7.62x54-r,,0.77,,,,37,,,
wpn_ppsh41,st_wpn_ppsh41,st_wpn_ppsh41_descr,3.64,15840,A,N,56%,82%,21,880,71,500,630,91%,70,ammo-7.62x25-p;ammo-7.62x25-ps,,0.46,,,25,,,,
wpn_ppsh41_rednew,st_wpn_ppsh41_camo,st_wpn_ppsh41_descr,3.60,20580,A,N,64%,82%,21,880,71,500,630,91%,70,ammo-7.62x25-p;ammo-7.62x25-ps,,0.46,,,25,,,,
wpn_ppsh41_woodnew,st_wpn_ppsh41_new,st_wpn_ppsh41_descr,3.65,18180,A,N,61%,82%,21,900,71,500,630,91%,70,ammo-7.62x25-p;ammo-7.62x25-ps,,0.46,,,25,,,,
wpn_rpd,st_wpn_rpd,st_wpn_rpd_descr,7.40,24580,D,N,74%,72%,46,600,100,900,613,91%,54,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.59,,,,30,,,55
wpn_rpk,st_wpn_rpk,st_wpn_rpk_descr,4.80,35860,D,N,77%,72%,45,600,40,900,621,90%,54,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.585,,,,30,,,55
wpn_rpk74,st_wpn_rpk74,st_wpn_rpk74_descr,4.80,38980,C,N,81%,73%,38,650,45,1000,955,91%,54,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.51,,,27,,,50,
wpn_rpk74_16,st_wpn_rpk74_16,st_wpn_rpk74_16_descr,3.87,65860,C,N,77%,72%,37,750,60,900,777,91%,54,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_rpk74_16_drum,st_wpn_rpk74_16,st_wpn_rpk74_16_descr,4.50,38980,C,N,81%,73%,38,700,95,1000,1007,91%,54,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.51,,,27,,,50,
wpn_scar,st_wpn_scar,st_wpn_scar_descr,3.60,55880,D,N,87%,72%,44,650,20,1000,842,83%,36,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.75,,,,34,,,62
wpn_scar_custom,st_wpn_scar_custom,st_wpn_scar_descr,3.60,63580,D,N,91%,72%,44,675,20,1000,842,83%,36,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.75,,,,34,,,62
wpn_scar_new,st_wpn_scar_new,st_wpn_scar_descr,3.60,58880,D,N,89%,72%,44,663,20,1000,842,83%,36,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.75,,,,34,,,62
wpn_scar_siber,st_wpn_scar_siber,st_wpn_scar_siber_descr,3.60,55880,D,N,87%,72%,59,650,20,1000,842,83%,27,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_scar_siber_black,st_wpn_scar_siber_black,st_wpn_scar_siber_black_descr,3.60,75880,D,N,87%,72%,59,650,20,1000,842,83%,27,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_scar_siber_m1,st_wpn_scar_siber_m1,st_wpn_scar_siber_m1_descr,3.60,85880,D,N,87%,72%,59,650,20,1000,842,83%,28,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_scar_siber_m1_black,st_wpn_scar_siber_m1_black,st_wpn_scar_siber_m1_black_descr,3.68,95880,D,N,87%,72%,59,650,20,1000,842,83%,28,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_scar_siber_m2,st_wpn_scar_siber_m2,st_wpn_scar_siber_m2_descr,4.00,167430,D,N,87%,72%,59,650,20,1000,842,83%,39,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_scar_siber_m2_custom,st_wpn_scar_siber_m2_custom,st_wpn_scar_siber_m2_custom_descr,4.70,55880,D,N,87%,72%,59,650,20,1000,842,83%,39,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_sig550,st_wpn_sig550,st_wpn_sig550_descr,4.10,43580,C,N,83%,75%,35,700,30,1000,1019,90%,53,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_sig550_camo,st_wpn_sig550_camos,st_wpn_sig550_descr,4.10,50860,C,N,86%,77%,35,755,30,1000,1019,90%,53,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_sig550_custom,st_wpn_sig550_custom,st_wpn_sig550_descr,4.10,45860,C,N,85%,75%,35,750,30,1000,1019,90%,63,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_sig550_luckygun,st_wpn_sig550_strelok,st_wpn_sig550_strelok_descr,4.10,51980,C,N,85%,77%,35,800,30,1000,1019,92%,67,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_sig552,st_wpn_sig552,st_wpn_sig552_descr,3.20,32580,C,N,76%,83%,33,780,30,900,817,90%,53,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.48,,13,29,,,52,
wpn_type63,st_wpn_type63,st_wpn_type63_descr,3.86,17880,B,N,83%,65%,45,700,20,900,617,87%,27,ammo-7.62x39_fmj;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,0.58,,,,30,,,55
wpn_val,st_wpn_val,st_wpn_val_descr,2.50,38860,D,N,77%,82%,48,900,20,600,255,83%,97,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_val_modern,st_wpn_val_modern,st_wpn_val_modern_descr,2.50,41580,D,N,79%,82%,48,840,20,600,255,83%,97,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_val_tac,st_wpn_val_tac,st_wpn_val_tac_descr,2.50,48860,D,N,79%,82%,48,900,20,600,255,83%,97,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vihr,st_wpn_vihrn,st_wpn_vihrn_descr,2.00,30580,D,N,78%,82%,48,900,30,600,255,83%,97,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez,st_wpn_vintorez,st_wpn_vintorez_descr,2.59,40580,C,N,86%,82%,48,800,10,600,255,83%,97,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_1pn93,st_wpn_vintorez,st_wpn_vintorez_1pn93_descr,3.90,55880,C,N,86%,82%,48,800,10,600,255,83%,77,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_alt,st_wpn_vintorez_alt,st_wpn_vintorez_descr,2.59,41860,C,N,87%,82%,48,750,10,600,255,83%,77,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_isg,st_wpn_vintorez_isg,st_wpn_vintorez_isg_descr,3.10,230175,D,N,79%,76%,48,800,30,600,255,83%,97,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_m1,st_wpn_vintorez_m1,st_wpn_vintorez_m1_descr,3.30,70580,D,N,79%,76%,48,800,20,600,255,83%,97,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_m2,st_wpn_vintorez_m2,st_wpn_vintorez_m2_descr,3.00,90580,D,N,79%,76%,48,800,20,600,255,83%,115,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_n1,st_wpn_vintorez_n1,st_wpn_vintorez_n1_descr,2.59,40580,C,N,86%,82%,48,800,10,600,255,83%,97,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_nimble,st_wpn_vintorez_nimble,st_wpn_vintorez_nimble_descr,3.28,51850,C,N,89%,82%,44,774,10,600,255,83%,97,ammo-9x39-pab9;ammo-9x39-ap,,0.64,,,,34,,,55
wpn_vsk94,st_wpn_vsk94,st_wpn_vsk94n_descr,2.80,33960,D,N,83%,82%,48,700,20,600,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_xm4,st_wpn_xm4,st_wpn_xm4_descr,2.20,29230,C,N,84%,83%,34,700,25,1000,896,89%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.498,,13,29,,,52,
wpn_xm8,st_wpn_xm8,st_wpn_xm8_descr,3.77,43880,C,N,80%,71%,35,750,30,1000,1024,90%,79,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.509,,13,29,,,52,
