~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_m4a1_siber,st_wpn_m4a1_siber,st_wpn_m4a1_siber_descr,2.60,29230,C,N,83%,80%,770,30,0,985,89%,49,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.498,,13,29,,,52,
wpn_m60,st_wpn_m60,st_wpn_m60_descr,10.50,67000,D,N,83%,88%,500,100,0,895,91%,17,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.765,,,,34,,,62
wpn_mk14,st_wpn_mk14,st_wpn_mk14_descr,5.10,40000,D,N,86%,88%,725,20,0,887,83%,18,ammo-7.62x51_fmj;ammo-7.62x51_ap,,0.76,,,,34,,,62
wpn_mk47,st_wpn_mk47,st_wpn_mk47_descr,3.26,45000,D,N,79%,80%,700,30,0,739,91%,67,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_mk47_sup,st_wpn_mk47_custom,st_wpn_mk47_descr,3.26,45000,D,N,79%,80%,700,30,0,739,91%,0,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.49,,,,30,,,55
wpn_pkm,st_wpn_pkm_siber,st_wpn_pkm_siber_descr,7.50,53850,D,N,85%,70%,650,100,0,866,91%,31,ammo-7.62x54-r;ammo-7.62x54-ap,,0.77,,,,37,,,80
wpn_pkm_siber,st_wpn_pkm_siber,st_wpn_pkm_siber_descr,7.50,53850,D,N,85%,70%,650,100,0,866,91%,31,ammo-7.62x54-r;ammo-7.62x54-ap,,0.77,,,,37,,,80
wpn_pkm_zenit_siber,st_wpn_pkm_zenit_siber,st_wpn_pkm_zenit_siber_descr,8.40,83850,D,N,83%,75%,750,100,0,866,91%,62,ammo-7.62x54-r;ammo-7.62x54-ap,,0.77,,,,37,,,80
wpn_pkm_zulus,st_wpn_pkm_zenit_siber,st_wpn_pkm_zenit_siber_descr,8.40,83850,D,N,83%,75%,750,100,0,866,91%,52,ammo-7.62x54-r;ammo-7.62x54-ap,,0.77,,,,37,,,80
wpn_pkp,st_wpn_pkp_siber,st_wpn_pkp_siber_descr,8.70,63850,D,N,86%,73%,650,100,0,866,91%,45,ammo-7.62x54-r;ammo-7.62x54-ap,,0.77,,,,37,,,80
wpn_pkp_siber,st_wpn_pkp_siber,st_wpn_pkp_siber_descr,8.70,63850,D,N,86%,73%,650,100,0,866,91%,45,ammo-7.62x54-r;ammo-7.62x54-ap,,0.77,,,,37,,,80
wpn_rpd,st_wpn_rpd,st_wpn_rpd_descr,7.40,24580,D,N,74%,72%,600,100,0,613,91%,37,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.59,,,,30,,,55
wpn_rpk,st_wpn_rpk,st_wpn_rpk_descr,4.80,35860,D,N,77%,72%,600,40,0,621,90%,37,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.585,,,,30,,,55
wpn_rpk74,st_wpn_rpk74,st_wpn_rpk74_descr,4.80,38980,C,N,81%,73%,650,45,0,955,91%,37,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.51,,,27,,,50,
wpn_rpk74_16,st_wpn_rpk74_16,st_wpn_rpk74_16_descr,3.87,65860,C,N,77%,72%,750,60,0,777,91%,37,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
wpn_rpk74_16_drum,st_wpn_rpk74_16,st_wpn_rpk74_16_descr,4.50,38980,D,N,81%,73%,700,95,0,1007,91%,37,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.51,,,27,,,50,
wpn_scar_new,st_wpn_scar_siber,st_wpn_scar_siber_descr,3.60,55880,D,N,87%,72%,650,20,0,842,83%,19,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_scar_siber,st_wpn_scar_siber,st_wpn_scar_siber_descr,3.60,55880,D,N,87%,72%,650,20,0,842,83%,16,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_scar_siber_black,st_wpn_scar_siber_black,st_wpn_scar_siber_black_descr,3.60,75880,D,N,87%,72%,650,20,0,842,83%,7,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_scar_siber_m1,st_wpn_scar_siber_m1,st_wpn_scar_siber_m1_descr,3.60,85880,D,N,87%,72%,650,20,0,842,83%,10,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_scar_siber_m1_black,st_wpn_scar_siber_m1_black,st_wpn_scar_siber_m1_black_descr,3.68,95880,D,N,87%,72%,650,20,0,842,83%,10,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_scar_siber_m2,st_wpn_scar_siber_m2,st_wpn_scar_siber_m2_descr,4.00,167430,D,N,87%,72%,650,20,0,842,83%,21,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_scar_siber_m2_custom,st_wpn_scar_siber_m2_custom,st_wpn_scar_siber_m2_custom_descr,4.70,55880,D,N,87%,72%,650,20,0,842,83%,21,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_sig550,st_wpn_sig550,st_wpn_sig550_descr,4.10,43580,C,N,83%,75%,700,30,0,1019,90%,49,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_sig550_camo,st_wpn_sig550,st_wpn_sig550_descr,4.10,43580,C,N,83%,75%,700,30,0,1019,90%,49,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_sig550_custom,st_wpn_sig550_custom,st_wpn_sig550_descr,4.10,45860,C,N,85%,75%,750,30,0,1019,90%,60,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_sig550_luckygun,st_wpn_sig550_custom,st_wpn_sig550_descr,4.10,45860,C,N,85%,75%,750,30,0,1019,90%,65,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_sig550_sniper,st_wpn_sig550,st_wpn_sig550_descr,4.10,43580,C,N,83%,75%,700,30,0,1019,90%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_sig552,st_wpn_sig550,st_wpn_sig550_descr,4.10,43580,C,N,83%,75%,700,30,0,1019,90%,49,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_type63,st_wpn_type63,st_wpn_type63_descr,3.86,17880,B,N,83%,65%,700,20,0,617,87%,8,ammo-7.62x39_fmj;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,0.58,,,,30,,,55
wpn_val,st_wpn_val,st_wpn_val_descr,2.50,38860,D,N,77%,82%,900,20,0,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_val_modern,st_wpn_val,st_wpn_val_descr,2.50,38860,D,N,77%,82%,900,20,0,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_val_tac,st_wpn_val_tac,st_wpn_val_tac_descr,2.50,48860,D,N,79%,82%,900,20,0,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vihr,st_wpn_vihrn,st_wpn_vihrn_descr,2.00,30580,D,N,78%,82%,900,30,0,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez,st_wpn_vintorez_n1,st_wpn_vintorez_n1_descr,2.59,40580,C,N,86%,82%,800,10,0,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_isg,st_wpn_vintorez_isg,st_wpn_vintorez_isg_descr,3.10,230175,D,N,79%,76%,800,30,0,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_m1,st_wpn_vintorez_m1,st_wpn_vintorez_m1_descr,3.30,70580,D,N,79%,76%,800,20,0,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_m2,st_wpn_vintorez_m2,st_wpn_vintorez_m2_descr,3.00,90580,D,N,79%,76%,800,20,0,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_n1,st_wpn_vintorez_n1,st_wpn_vintorez_n1_descr,2.59,40580,C,N,86%,82%,800,10,0,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vintorez_nimble,st_wpn_vintorez_n1,st_wpn_vintorez_n1_descr,2.59,40580,C,N,86%,82%,800,10,0,255,83%,62,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_vsk94,st_wpn_vsk94,st_wpn_vsk94n_descr,2.80,33960,D,N,83%,82%,700,20,0,255,83%,30,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_xm4,st_wpn_car15,st_wpn_car15_descr,2.94,29560,C,N,79%,80%,700,30,0,985,89%,54,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_xm4_admin,st_wpn_admin,st_wpn_admin_descr,3.40,76400,C,N,88%,80%,900,30,0,996,90%,58,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_xm4_bd,st_wpn_car15_bd,st_wpn_car15_bd_descr,2.94,29560,C,N,79%,80%,900,30,0,985,91%,58,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.49,,13,29,,,52,
wpn_xm8,st_wpn_xm8,st_wpn_xm8_descr,3.77,43880,C,N,80%,71%,750,30,0,1024,90%,64,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.509,,13,29,,,52,
